,VG_date_time_num,WindSpeed_mean,VG_East,VG_West,seeing_mean,VG_date
1,1648965670,2.7,30,30,0.398,4/2/22
2,1648965703,2.7,30,30,0.446,4/2/22
3,1648965730,2.7,30,30,0.429,4/2/22
4,1648965760,2.7,30,30,0.418,4/2/22
5,1648965792,2.7,30,30,0.339,4/2/22
6,1648965811,2.7,30,30,0.589,4/2/22
7,1648965855,2.7,30,30,0.617,4/2/22
8,1648965882,2.7,30,30,1.001,4/2/22
9,1648965915,2.7,30,30,0.446,4/2/22
10,1648965945,2.7,30,30,0.511,4/2/22
11,1648965973,2.7,30,30,0.418,4/2/22
12,1648966001,2.7,30,30,0.384,4/2/22
13,1648966036,2.7,30,30,0.359,4/2/22
14,1648966059,2.7,30,30,0.349,4/2/22
15,1648966096,2.7,30,30,1.178,4/2/22
16,1648966129,2.7,30,30,0.586,4/2/22
17,1648966163,2.7,30,30,0.479,4/2/22
18,1648966184,2.7,30,30,0.386,4/2/22
19,1648966227,2.2,30,30,0.336,4/2/22
20,1648966256,2.2,30,30,0.363,4/2/22
21,1648966270,2.2,30,30,0.4005,4/2/22
22,1648966407,2.2,30,30,0.369,4/2/22
23,1648966427,2.2,30,30,0.919,4/2/22
24,1648966444,2.2,30,30,0.4925,4/2/22
25,1648966525,2,30,30,0.402,4/2/22
26,1648966583,2,30,30,0.4195,4/2/22
27,1648966647,2,30,30,0.382,4/2/22
28,1648966678,2,30,30,0.4795,4/2/22
29,1648966727,2,30,30,0.719,4/2/22
30,1648966793,2,30,30,0.3625,4/2/22
31,1648966848,1.6,30,30,0.368,4/2/22
32,1648966881,1.6,30,30,0.345,4/2/22
33,1648966919,1.6,30,30,0.452,4/2/22
34,1648966977,1.6,30,30,0.364,4/2/22
35,1648966992,1.6,30,30,0.512,4/2/22
36,1648967039,1.6,30,30,0.755,4/2/22
37,1648967054,1.6,30,30,0.422666667,4/2/22
38,1648967162,2.2,30,30,0.448,4/2/22
39,1648967164,2.2,30,30,0.467,4/2/22
40,1648967208,2.2,30,30,0.369,4/2/22
41,1648967249,2.2,30,30,0.344,4/2/22
42,1648967256,2.2,30,30,0.316,4/2/22
43,1648967303,2.2,30,30,0.374,4/2/22
44,1648967341,2.2,30,30,0.589,4/2/22
45,1648967402,2.6,30,30,0.372,4/2/22
46,1648967408,2.6,30,30,0.404,4/2/22
47,1648967493,2.6,30,30,0.322,4/2/22
48,1648967509,2.6,30,30,0.448,4/2/22
49,1648967578,2.6,30,30,0.359,4/2/22
50,1648967639,2.6,30,30,0.351,4/2/22
51,1648967664,2.6,30,30,0.378,4/2/22
52,1649141464,9.2,0,0,1.304,4/4/22
53,1649141502,9.2,0,0,0.863,4/4/22
54,1649141624,9.2,0,0,0.65,4/4/22
55,1649141640,9.2,0,0,0.517,4/4/22
56,1649141674,9.2,0,0,0.436,4/4/22
57,1649141715,10.2,0,0,0.533,4/4/22
58,1649141784,10.2,0,0,0.6745,4/4/22
