,datetime,colB_mas_cercano
0,44562.04091,44562.04097
1,44562.04614,44562.04583
2,44562.04671,44562.04653
3,44562.047289999995,44562.04722
4,44562.04787,44562.04792
5,44562.04845,44562.048610000005
6,44562.04903,44562.04931
7,44562.10737,44562.107639999995
8,44562.10772,44562.107639999995
9,44562.10807,44562.10833
10,44562.10841,44562.10833
11,44562.10876,44562.10903
12,44562.109110000005,44562.10903
13,44562.10946,44562.10972
14,44562.10981,44562.10972
15,44562.110160000004,44562.11042
16,44562.1105,44562.11042
17,44562.11085,44562.111110000005
18,44562.1112,44562.111110000005
19,44562.11155,44562.11181
20,44562.1119,44562.11181
21,44562.112239999995,44562.1125
22,44562.11259,44562.1125
23,44562.11294,44562.11319
24,44562.11329,44562.11319
25,44562.113639999996,44562.11389
26,44562.11399,44562.11389
27,44562.114330000004,44562.11458
28,44562.11468,44562.11458
29,44562.11503,44562.11528
30,44562.11538,44562.11528
31,44562.11573,44562.11597
32,44562.11607,44562.11597
33,44562.11642,44562.116669999996
34,44562.11677,44562.116669999996
35,44562.117119999995,44562.117360000004
36,44562.11747,44562.117360000004
37,44562.11781,44562.11806
38,44562.118160000005,44562.11806
39,44562.11851,44562.11875
40,44562.11886,44562.11875
41,44562.119210000004,44562.119439999995
42,44562.11956,44562.119439999995
43,44562.1199,44562.12014
44,44562.122019999995,44562.12222
45,44562.12237,44562.12222
46,44562.12272,44562.12292
47,44562.12307,44562.12292
48,44562.123419999996,44562.12361
49,44562.12377,44562.12361
50,44562.12412,44562.12431
51,44562.12446,44562.12431
52,44562.12481,44562.125
53,44562.12516,44562.125
54,44562.125510000005,44562.12569
55,44562.12586,44562.12569
56,44562.12621,44562.12639
57,44562.126560000004,44562.12639
58,44562.12691,44562.12708
59,44562.12726,44562.12708
60,44562.13796,44562.13819
61,44562.1383,44562.13819
62,44562.13865,44562.138889999995
63,44562.139,44562.138889999995
64,44562.13935,44562.13958
65,44562.1397,44562.13958
66,44562.14004,44562.14028
67,44562.14039,44562.14028
68,44562.140739999995,44562.14097
69,44562.14109,44562.14097
70,44562.14144,44562.14167
71,44562.141789999994,44562.14167
72,44562.14213,44562.142360000005
73,44562.14248,44562.142360000005
74,44562.142830000004,44562.14306
75,44562.14318,44562.14306
76,44562.14353,44562.14375
77,44562.14387,44562.14375
78,44562.14422,44562.14444
79,44562.14457,44562.14444
80,44562.14492,44562.14514
81,44562.14527,44562.14514
82,44562.145619999996,44562.14583
83,44562.14596,44562.14583
84,44562.146310000004,44562.14653
85,44562.146660000006,44562.14653
86,44562.14701,44562.14722
87,44562.14736,44562.14722
88,44562.1477,44562.147919999996
89,44562.14805,44562.147919999996
90,44562.1484,44562.148610000004
91,44562.14875,44562.148610000004
92,44562.1491,44562.14931
93,44562.14945,44562.14931
94,44562.149789999996,44562.15
95,44562.15014,44562.15
96,44562.15049,44562.150689999995
97,44562.150839999995,44562.150689999995
98,44562.15119,44562.15139
99,44562.15153,44562.15139
100,44562.15188,44562.15208
101,44562.15223,44562.15208
102,44562.15258,44562.152780000004
103,44562.152930000004,44562.152780000004
104,44562.15328,44562.15347
105,44562.15362,44562.15347
106,44562.15397,44562.15417
107,44562.15627,44562.15625
108,44562.15662,44562.15694
109,44562.15697,44562.15694
110,44562.15732,44562.15764
111,44562.15767,44562.15764
112,44562.15801,44562.15833
113,44562.15836,44562.15833
114,44562.15871,44562.15903
115,44562.159060000005,44562.15903
116,44562.15941,44562.159719999996
117,44562.15976,44562.159719999996
118,44562.1601,44562.16042
119,44562.198919999995,44562.19861
120,44562.19927,44562.19931
121,44562.19962,44562.19931
122,44562.19997,44562.2
123,44562.200319999996,44562.2
124,44562.20066,44562.20069
125,44562.201010000004,44562.20069
126,44562.20136,44562.201389999995
127,44562.20188,44562.20208
128,44562.20223,44562.20208
129,44562.202580000005,44562.20278
130,44562.20293,44562.20278
131,44562.20327,44562.20347
132,44562.20362,44562.20347
133,44562.20397,44562.20417
134,44562.20502,44562.204860000005
135,44562.205369999996,44562.20556
136,44562.207089999996,44562.20694
137,44562.20744,44562.20764
138,44562.208139999995,44562.20833
139,44562.20849,44562.20833
140,44562.20884,44562.20903
141,44562.209189999994,44562.20903
142,44562.209539999996,44562.20972
143,44562.20989,44562.20972
144,44562.21024,44562.210419999996
145,44562.210589999995,44562.210419999996
146,44562.21201,44562.21181
147,44562.212360000005,44562.2125
148,44562.21271,44562.2125
149,44562.21306,44562.213189999995
150,44562.213410000004,44562.213189999995
151,44562.213760000006,44562.21389
152,44562.214289999996,44562.21458
153,44562.21464,44562.21458
154,44562.21499,44562.215280000004
155,44562.21561,44562.215280000004
156,44562.21596,44562.21597
157,44562.21631,44562.21597
158,44562.21701,44562.21667
159,44562.21736,44562.21736
160,44562.217710000004,44562.21806
161,44562.21806,44562.21806
162,44562.21841,44562.21875
163,44562.21876,44562.21875
164,44562.21946,44562.21944
165,44562.21981,44562.22014
166,44562.220160000004,44562.22014
167,44562.22051,44562.22083
168,44562.22085,44562.22083
169,44562.2212,44562.22153
170,44562.22155,44562.22153
171,44562.2219,44562.222219999996
172,44562.22225,44562.222219999996
173,44562.222610000004,44562.22292
174,44562.22295,44562.22292
175,44562.2233,44562.22361
176,44562.22365,44562.22361
177,44562.224,44562.224310000005
178,44562.22435,44562.224310000005
179,44562.2247,44562.225
180,44562.22505,44562.225
181,44562.2254,44562.22569
182,44562.22575,44562.22569
183,44562.2261,44562.226389999996
184,44562.2268,44562.227080000004
185,44562.22715,44562.227080000004
186,44562.2275,44562.22778
187,44562.22785,44562.22778
188,44562.228189999994,44562.22847
189,44562.22854,44562.22847
190,44562.22889,44562.22917
191,44562.22924,44562.22917
192,44562.229589999995,44562.22986
193,44562.23029,44562.23056
194,44562.230639999994,44562.23056
195,44562.23099,44562.23125
196,44562.23134,44562.23125
197,44562.23169,44562.23194
198,44562.232039999995,44562.23194
199,44562.23239,44562.232639999995
200,44562.23274,44562.232639999995
201,44562.233089999994,44562.23333
202,44562.233439999996,44562.23333
203,44562.23532,44562.23542
204,44562.23567,44562.23542
205,44562.23602,44562.236110000005
206,44562.23637,44562.236110000005
207,44562.23672,44562.23681
208,44562.237389999995,44562.2375
209,44562.23774,44562.2375
210,44562.23809,44562.23819
211,44562.23844,44562.23819
212,44562.238789999996,44562.23889
213,44562.23949,44562.23958
214,44562.2402,44562.24028
215,44562.24055,44562.24028
216,44562.2409,44562.24097
217,44562.24125,44562.24097
218,44562.2416,44562.241669999996
219,44563.01952,44563.01944
220,44563.01987,44563.02014
221,44563.02022,44563.02014
222,44563.020560000004,44563.02083
223,44563.02091,44563.02083
224,44563.02126,44563.02153
225,44563.02161,44563.02153
226,44563.021960000005,44563.02222
