date,hour,datetime,ecs_az,topshut,botshut,eastVent,westVent,pwfs2_see,windSpeed,windDir,p2_mean,Error,Adjusted Timestamp,operador
1/1/22 0:00,0:58:54,44562.04091,172,103.7,9.6,30,30,1.92,3,141.5,1.92,60,1/1/22 0:58,op1
1/1/22 0:00,1:06:26,44562.04614,175.7,103.7,9.6,30,30,0.79,1.4,142.5,0.79,60,1/1/22 1:06,op1
1/1/22 0:00,1:07:15,44562.04671,175.7,103.7,9.6,30,30,0.86,1.4,141.5,0.91,60,1/1/22 1:07,op1
1/1/22 0:00,1:08:55,44562.04787,175.7,103.7,9.6,30,30,0.86,1.4,138,0.84,60,1/1/22 1:09,op1
1/1/22 0:00,2:34:36,44562.10737,282,103.7,9.6,30,30,0.48,2,93,0.48,60,1/1/22 2:34,op1
1/1/22 0:00,2:35:07,44562.10772,282,103.7,9.6,30,30,0.59,2,190,0.6825,60,1/1/22 2:36,op1
1/1/22 0:00,2:37:07,44562.10911,282,103.7,9.6,30,30,0.66,2,346.5,0.6075,60,1/1/22 2:38,op1
1/1/22 0:00,2:39:07,44562.1105,281.9,103.7,9.6,30,30,0.69,1.5,334.5,0.5775,60,1/1/22 2:40,op1
1/1/22 0:00,2:41:08,44562.1119,281.9,103.7,9.6,30,30,0.59,1.5,340,0.5625,60,1/1/22 2:42,op1
1/1/22 0:00,2:43:08,44562.11329,281.9,103.7,9.6,30,30,0.46,1.5,344.5,0.4875,60,1/1/22 2:44,op1
1/1/22 0:00,2:45:08,44562.11468,281.9,103.7,9.6,30,30,0.54,1.7,333.5,0.5925,60,1/1/22 2:46,op1
1/1/22 0:00,2:47:08,44562.11607,280.8,103.7,9.6,30,30,0.59,1.7,325,0.5475,60,1/1/22 2:48,op1
1/1/22 0:00,2:49:09,44562.11747,280.8,103.7,9.6,30,30,0.57,1.7,318.5,0.5475,60,1/1/22 2:50,op1
1/1/22 0:00,2:51:09,44562.11886,280.8,103.7,9.6,30,30,0.53,1.7,322.5,0.55,60,1/1/22 2:51,op1
1/1/22 0:00,2:55:42,44562.12202,279.5,103.7,9.6,30,30,0.55,1.7,326.5,0.633333333,60,1/1/22 2:55,op1
1/1/22 0:00,2:57:13,44562.12307,279.5,103.7,9.6,30,30,0.66,1.7,320,0.5775,60,1/1/22 2:57,op1
1/1/22 0:00,2:59:13,44562.12446,279.5,103.7,9.6,30,30,0.61,1.7,316.5,0.5625,60,1/1/22 2:59,op1
1/1/22 0:00,3:01:14,44562.12586,278.3,103.7,9.6,30,30,0.55,1.7,316.5,0.51,60,1/1/22 3:01,op1
1/1/22 0:00,3:03:15,44562.12726,265.2,103.7,9.6,30,30,0.53,1.7,317.5,0.53,60,1/1/22 3:03,op1
1/1/22 0:00,3:18:39,44562.13796,340.75,103.7,9.6,30,30,0.63,1.7,302.5,0.63,60,1/1/22 3:18,op1
1/1/22 0:00,3:19:09,44562.1383,340.1,103.7,9.6,30,30,0.5,1.4,302,0.52,60,1/1/22 3:19,op1
1/1/22 0:00,3:21:10,44562.1397,339.9,103.7,9.6,30,30,0.48,1.4,304.5,0.44,60,1/1/22 3:21,op1
1/1/22 0:00,3:23:10,44562.14109,339.5,103.7,9.6,30,30,0.46,1.4,307,0.4675,60,1/1/22 3:23,op1
1/1/22 0:00,3:25:10,44562.14248,339.5,103.7,9.6,30,30,0.42,1.6,307,0.485,60,1/1/22 3:25,op1
1/1/22 0:00,3:27:10,44562.14387,338.7,103.7,9.6,30,30,0.47,1.6,305.5,0.49,60,1/1/22 3:27,op1
1/1/22 0:00,3:29:11,44562.14527,337.9,103.7,9.6,30,30,0.48,1.5,297.5,0.4825,60,1/1/22 3:29,op1
1/1/22 0:00,3:31:11,44562.14666,337.2,103.7,9.6,30,30,0.51,1.5,295,0.52,60,1/1/22 3:31,op1
1/1/22 0:00,3:33:11,44562.14805,336.5,103.7,9.6,30,30,0.49,1.5,303.5,0.53,60,1/1/22 3:33,op1
1/1/22 0:00,3:35:12,44562.14945,336.5,103.7,9.6,30,30,0.57,1.7,304.5,0.575,60,1/1/22 3:35,op1
1/1/22 0:00,3:37:12,44562.15084,335.2,103.7,9.6,30,30,0.62,1.7,308.5,0.67,60,1/1/22 3:37,op1
1/1/22 0:00,3:39:12,44562.15223,335.2,103.7,9.6,30,30,0.5,1.9,313.5,0.4925,60,1/1/22 3:39,op1
1/1/22 0:00,3:41:12,44562.15362,333.4,103.7,9.6,30,30,0.64,1.9,317,0.595,60,1/1/22 3:41,op1
1/1/22 0:00,3:45:01,44562.15627,329.3,103.7,9.6,30,30,0.52,2.3,317,0.62,60,1/1/22 3:46,op1
1/1/22 0:00,3:47:02,44562.15767,329.3,103.7,9.6,30,30,0.71,2.3,312.5,0.6275,60,1/1/22 3:48,op1
1/1/22 0:00,3:49:02,44562.15906,328.6,103.7,9.6,30,30,0.55,2.2,311.5,0.605,60,1/1/22 3:50,op1
1/1/22 0:00,4:46:26,44562.19892,113.2,103.7,9.6,30,30,1.58,4.4,295.5,1.58,60,1/1/22 4:46,op1
1/1/22 0:00,4:46:56,44562.19927,113.2,103.7,9.6,30,30,1.85,4.4,293.5,1.3975,60,1/1/22 4:47,op1
1/1/22 0:00,4:48:57,44562.20066,113.2,103.7,9.6,30,30,1.7,4.4,297.5,1.545,60,1/1/22 4:49,op1
1/1/22 0:00,4:51:12,44562.20223,113.2,103.7,9.6,30,30,1.14,4.1,296.5,1.21,60,1/1/22 4:51,op1
1/1/22 0:00,4:53:12,44562.20362,113.2,103.7,9.6,30,30,1.07,4.1,294.5,1.005,60,1/1/22 4:53,op1
1/1/22 0:00,4:55:13,44562.20502,113.2,103.7,9.6,30,30,1.12,4.4,292.5,1.045,60,1/1/22 4:55,op1
1/1/22 0:00,4:58:12,44562.20709,113.2,103.7,9.6,30,30,1.44,4.4,291,1.61,60,1/1/22 4:58,op1
1/1/22 0:00,4:59:43,44562.20814,113.2,103.7,9.6,30,30,1.67,4.8,283,1.57,60,1/1/22 4:59,op1
