date,hour,datetime,ecs_az_pos,topshut_pos,botshut_pos,eastVent_pos,westVent_pos,pwfs2_see,windSp,windDir
1/1/22,0:58:05,44562.04034,172,103.7,9.6,30,30,7.55,3,142.5
1/1/22,0:58:54,44562.04091,172,103.7,9.6,30,30,1.92,3,141.5
1/1/22,1:06:26,44562.04614,175.7,103.7,9.6,30,30,0.79,1.4,142.5
1/1/22,1:07:15,44562.04671,175.7,103.7,9.6,30,30,0.86,1.4,141.5
1/1/22,1:08:05,44562.04729,175.7,103.7,9.6,30,30,0.96,1.4,144
1/1/22,1:08:55,44562.04787,175.7,103.7,9.6,30,30,0.86,1.4,138
1/1/22,1:09:46,44562.04845,175.7,103.7,9.6,30,30,0.79,0.6,159
1/1/22,1:10:36,44562.04903,175.7,103.7,9.6,30,30,0.87,0.6,161
1/1/22,2:34:36,44562.10737,282,103.7,9.6,30,30,0.48,2,93
1/1/22,2:35:07,44562.10772,282,103.7,9.6,30,30,0.59,2,190
1/1/22,2:35:37,44562.10807,282,103.7,9.6,30,30,0.58,2,333.5
1/1/22,2:36:06,44562.10841,282,103.7,9.6,30,30,0.79,2,327
1/1/22,2:36:36,44562.10876,282,103.7,9.6,30,30,0.77,2,344.5
1/1/22,2:37:07,44562.10911,282,103.7,9.6,30,30,0.66,2,346.5
1/1/22,2:37:37,44562.10946,282,103.7,9.6,30,30,0.61,2,346.5
1/1/22,2:38:07,44562.10981,281.95,103.7,9.6,30,30,0.59,2,343
1/1/22,2:38:37,44562.11016,281.95,103.7,9.6,30,30,0.57,2,337.5
1/1/22,2:39:07,44562.1105,281.9,103.7,9.6,30,30,0.69,1.5,334.5
1/1/22,2:39:37,44562.11085,281.9,103.7,9.6,30,30,0.54,1.5,334.5
1/1/22,2:40:07,44562.1112,281.9,103.7,9.6,30,30,0.54,1.5,335
1/1/22,2:40:37,44562.11155,281.9,103.7,9.6,30,30,0.54,1.5,339
1/1/22,2:41:08,44562.1119,281.9,103.7,9.6,30,30,0.59,1.5,340
1/1/22,2:41:37,44562.11224,281.9,103.7,9.6,30,30,0.6,1.5,342
1/1/22,2:42:07,44562.11259,281.9,103.7,9.6,30,30,0.59,1.5,343
1/1/22,2:42:38,44562.11294,281.9,103.7,9.6,30,30,0.47,1.5,342
1/1/22,2:43:08,44562.11329,281.9,103.7,9.6,30,30,0.46,1.5,344.5
1/1/22,2:43:38,44562.11364,281.9,103.7,9.6,30,30,0.46,1.5,342.5
1/1/22,2:44:08,44562.11399,281.9,103.7,9.6,30,30,0.53,1.7,337.5
1/1/22,2:44:38,44562.11433,281.9,103.7,9.6,30,30,0.5,1.7,337.5
1/1/22,2:45:08,44562.11468,281.9,103.7,9.6,30,30,0.54,1.7,333.5
1/1/22,2:45:38,44562.11503,281.9,103.7,9.6,30,30,0.6,1.7,329
1/1/22,2:46:08,44562.11538,281.35,103.7,9.6,30,30,0.63,1.7,325.5
1/1/22,2:46:39,44562.11573,281.35,103.7,9.6,30,30,0.6,1.7,327
1/1/22,2:47:08,44562.11607,280.8,103.7,9.6,30,30,0.59,1.7,325
1/1/22,2:47:38,44562.11642,280.8,103.7,9.6,30,30,0.61,1.7,323.5
1/1/22,2:48:08,44562.11677,280.8,103.7,9.6,30,30,0.47,1.7,322.5
1/1/22,2:48:39,44562.11712,280.8,103.7,9.6,30,30,0.52,1.7,318.5
1/1/22,2:49:09,44562.11747,280.8,103.7,9.6,30,30,0.57,1.7,318.5
1/1/22,2:49:38,44562.11781,280.8,103.7,9.6,30,30,0.58,1.7,320
1/1/22,2:50:09,44562.11816,280.8,103.7,9.6,30,30,0.55,1.7,320
1/1/22,2:50:39,44562.11851,280.8,103.7,9.6,30,30,0.49,1.7,322.5
1/1/22,2:51:09,44562.11886,280.8,103.7,9.6,30,30,0.53,1.7,322.5
1/1/22,2:51:39,44562.11921,280.8,103.7,9.6,30,30,0.48,1.7,322.5
1/1/22,2:52:09,44562.11956,280.15,103.7,9.6,30,30,0.52,1.7,322.5
1/1/22,2:52:39,44562.1199,280.15,103.7,9.6,30,30,0.67,1.7,322.5
1/1/22,2:55:42,44562.12202,279.5,103.7,9.6,30,30,0.55,1.7,326.5
1/1/22,2:56:12,44562.12237,279.5,103.7,9.6,30,30,0.68,1.7,326.5
1/1/22,2:56:43,44562.12272,279.5,103.7,9.6,30,30,0.67,1.7,323.5
1/1/22,2:57:13,44562.12307,279.5,103.7,9.6,30,30,0.66,1.7,320
1/1/22,2:57:43,44562.12342,279.5,103.7,9.6,30,30,0.54,1.7,320
1/1/22,2:58:13,44562.12377,279.5,103.7,9.6,30,30,0.59,1.7,319
1/1/22,2:58:43,44562.12412,279.5,103.7,9.6,30,30,0.52,1.7,316.5
1/1/22,2:59:13,44562.12446,279.5,103.7,9.6,30,30,0.61,1.7,316.5
1/1/22,2:59:43,44562.12481,279.5,103.7,9.6,30,30,0.5,1.7,316.5
1/1/22,3:00:13,44562.12516,278.9,103.7,9.6,30,30,0.56,1.7,316.5
1/1/22,3:00:44,44562.12551,278.9,103.7,9.6,30,30,0.58,1.7,316.5
1/1/22,3:01:14,44562.12586,278.3,103.7,9.6,30,30,0.55,1.7,316.5
1/1/22,3:01:44,44562.12621,278.3,103.7,9.6,30,30,0.5,1.7,317.5
1/1/22,3:02:14,44562.12656,278.3,103.7,9.6,30,30,0.51,1.7,319
1/1/22,3:02:45,44562.12691,278.3,103.7,9.6,30,30,0.48,1.7,318.5
1/1/22,3:03:15,44562.12726,265.2,103.7,9.6,30,30,0.53,1.7,317.5
1/1/22,3:18:39,44562.13796,340.75,103.7,9.6,30,30,0.63,1.7,302.5
1/1/22,3:19:09,44562.1383,340.1,103.7,9.6,30,30,0.5,1.4,302
1/1/22,3:19:39,44562.13865,340.1,103.7,9.6,30,30,0.53,1.4,300.5
1/1/22,3:20:09,44562.139,339.9,103.7,9.6,30,30,0.52,1.4,301
1/1/22,3:20:39,44562.13935,339.9,103.7,9.6,30,30,0.53,1.4,302.5
1/1/22,3:21:10,44562.1397,339.9,103.7,9.6,30,30,0.48,1.4,304.5
1/1/22,3:21:39,44562.14004,339.9,103.7,9.6,30,30,0.43,1.4,305
1/1/22,3:22:09,44562.14039,339.7,103.7,9.6,30,30,0.42,1.4,304.5
1/1/22,3:22:39,44562.14074,339.7,103.7,9.6,30,30,0.43,1.4,305.5
1/1/22,3:23:10,44562.14109,339.5,103.7,9.6,30,30,0.46,1.4,307
1/1/22,3:23:40,44562.14144,339.5,103.7,9.6,30,30,0.51,1.4,307
1/1/22,3:24:10,44562.14179,339.5,103.7,9.6,30,30,0.46,1.6,305.5
1/1/22,3:24:40,44562.14213,339.5,103.7,9.6,30,30,0.44,1.6,307
1/1/22,3:25:10,44562.14248,339.5,103.7,9.6,30,30,0.42,1.6,307
1/1/22,3:25:40,44562.14283,339.5,103.7,9.6,30,30,0.57,1.6,308
1/1/22,3:26:10,44562.14318,339.5,103.7,9.6,30,30,0.44,1.6,308
1/1/22,3:26:40,44562.14353,339.5,103.7,9.6,30,30,0.51,1.6,305.5
1/1/22,3:27:10,44562.14387,338.7,103.7,9.6,30,30,0.47,1.6,305.5
1/1/22,3:27:40,44562.14422,338.7,103.7,9.6,30,30,0.54,1.6,302.5
1/1/22,3:28:10,44562.14457,337.9,103.7,9.6,30,30,0.45,1.6,300
1/1/22,3:28:41,44562.14492,337.9,103.7,9.6,30,30,0.5,1.6,298.5
1/1/22,3:29:11,44562.14527,337.9,103.7,9.6,30,30,0.48,1.5,297.5
1/1/22,3:29:41,44562.14562,337.9,103.7,9.6,30,30,0.55,1.5,296.5
1/1/22,3:30:10,44562.14596,337.9,103.7,9.6,30,30,0.47,1.5,295
1/1/22,3:30:41,44562.14631,337.9,103.7,9.6,30,30,0.43,1.5,295
1/1/22,3:31:11,44562.14666,337.2,103.7,9.6,30,30,0.51,1.5,295
1/1/22,3:31:41,44562.14701,337.2,103.7,9.6,30,30,0.58,1.5,298
1/1/22,3:32:11,44562.14736,336.5,103.7,9.6,30,30,0.49,1.5,301
1/1/22,3:32:41,44562.1477,336.5,103.7,9.6,30,30,0.5,1.5,303
1/1/22,3:33:11,44562.14805,336.5,103.7,9.6,30,30,0.49,1.5,303.5
1/1/22,3:33:41,44562.1484,336.5,103.7,9.6,30,30,0.52,1.5,303.5
1/1/22,3:34:12,44562.14875,336.5,103.7,9.6,30,30,0.64,1.7,303.5
1/1/22,3:34:42,44562.1491,336.5,103.7,9.6,30,30,0.47,1.7,304.5
1/1/22,3:35:12,44562.14945,336.5,103.7,9.6,30,30,0.57,1.7,304.5
1/1/22,3:35:41,44562.14979,336.5,103.7,9.6,30,30,0.51,1.7,306.5
1/1/22,3:36:12,44562.15014,335.85,103.7,9.6,30,30,0.64,1.7,306.5
1/1/22,3:36:42,44562.15049,335.85,103.7,9.6,30,30,0.58,1.7,306.5
1/1/22,3:37:12,44562.15084,335.2,103.7,9.6,30,30,0.62,1.7,308.5
1/1/22,3:37:42,44562.15119,335.2,103.7,9.6,30,30,0.79,1.7,310
1/1/22,3:38:12,44562.15153,335.2,103.7,9.6,30,30,0.78,1.7,311.5
1/1/22,3:38:42,44562.15188,335.2,103.7,9.6,30,30,0.49,1.7,312.5
1/1/22,3:39:12,44562.15223,335.2,103.7,9.6,30,30,0.5,1.9,313.5
