id,date,hour,datetime,ecs_az,topshut,botshut,eastVent,westVent,pwfs2_see,windSpeed,windDir,p2_mean,Error,Adjusted Timestamp,dateB,hourB,datetimeB,mcs_el_pos,zenith_angle,AM
0,2022-01-01 00:00:00,00:58:54,44562.04091,172.0,103.7,9.6,30.0,30.0,1.92,3.0,141.5,1.92,60.0,2022-01-01 00:58:54,1/1/22,0:58:59,44562.04097,75.89,14.11,1.0311090958749134
1,2022-01-01 00:00:00,01:06:26,44562.04614,175.7,103.7,9.6,30.0,30.0,0.79,1.4,142.5,0.79,60.0,2022-01-01 01:06:26,1/1/22,1:05:59,44562.04583,76.04,13.959999999999994,1.0304345191448934
2,2022-01-01 00:00:00,01:07:15,44562.04671,175.7,103.7,9.6,30.0,30.0,0.86,1.4,141.5,0.91,60.0,2022-01-01 01:07:15,1/1/22,1:07:00,44562.04653,76.05,13.950000000000003,1.030389829782432
4,2022-01-01 00:00:00,01:08:55,44562.04787,175.7,103.7,9.6,30.0,30.0,0.86,1.4,138.0,0.84,60.0,2022-01-01 01:09:46,1/1/22,1:09:00,44562.04792,76.07,13.930000000000007,1.0303005568328585
7,2022-01-01 00:00:00,02:34:36,44562.10737,282.0,103.7,9.6,30.0,30.0,0.48,2.0,93.0,0.48,60.0,2022-01-01 02:34:36,1/1/22,2:35:00,44562.10764,34.93,55.07,1.7464954043372665
8,2022-01-01 00:00:00,02:35:07,44562.10772,282.0,103.7,9.6,30.0,30.0,0.59,2.0,190.0,0.6825,60.0,2022-01-01 02:36:06,1/1/22,2:35:00,44562.10764,34.93,55.07,1.7464954043372665
12,2022-01-01 00:00:00,02:37:07,44562.10911000001,282.0,103.7,9.6,30.0,30.0,0.66,2.0,346.5,0.6074999999999999,60.0,2022-01-01 02:38:07,1/1/22,2:37:00,44562.10903,34.51,55.49,1.765069075056519
16,2022-01-01 00:00:00,02:39:07,44562.1105,281.9,103.7,9.6,30.0,30.0,0.69,1.5,334.5,0.5775,60.0,2022-01-01 02:40:07,1/1/22,2:39:00,44562.11042,34.08,55.92,1.784599189019046
20,2022-01-01 00:00:00,02:41:08,44562.1119,281.9,103.7,9.6,30.0,30.0,0.59,1.5,340.0,0.5625,60.0,2022-01-01 02:42:07,1/1/22,2:41:00,44562.11181,33.66,56.34,1.8041960878953305
24,2022-01-01 00:00:00,02:43:08,44562.11329,281.9,103.7,9.6,30.0,30.0,0.46,1.5,344.5,0.4875,60.0,2022-01-01 02:44:08,1/1/22,2:42:59,44562.11319,33.24,56.76,1.824327274567735
28,2022-01-01 00:00:00,02:45:08,44562.11468,281.9,103.7,9.6,30.0,30.0,0.54,1.7,333.5,0.5925,60.0,2022-01-01 02:46:08,1/1/22,2:44:59,44562.11458,32.81,57.19,1.8455124871373052
32,2022-01-01 00:00:00,02:47:08,44562.11607,280.8,103.7,9.6,30.0,30.0,0.59,1.7,325.0,0.5475,60.0,2022-01-01 02:48:08,1/1/22,2:46:59,44562.11597,32.39,57.61,1.8667881489897953
36,2022-01-01 00:00:00,02:49:09,44562.11747,280.8,103.7,9.6,30.0,30.0,0.57,1.7,318.5,0.5475,60.0,2022-01-01 02:50:09,1/1/22,2:48:59,44562.11736,31.96,58.04,1.889191062896333
40,2022-01-01 00:00:00,02:51:09,44562.11886,280.8,103.7,9.6,30.0,30.0,0.53,1.7,322.5,0.55,60.0,2022-01-01 02:51:39,1/1/22,2:51:00,44562.11875,31.53,58.47,1.9122472256312562
44,2022-01-01 00:00:00,02:55:42,44562.12202,279.5,103.7,9.6,30.0,30.0,0.55,1.7,326.5,0.6333333333333333,60.0,2022-01-01 02:55:42,1/1/22,2:55:59,44562.12222,33.35,56.65,1.819002061205963
47,2022-01-01 00:00:00,02:57:13,44562.12307,279.5,103.7,9.6,30.0,30.0,0.66,1.7,320.0,0.5775,60.0,2022-01-01 02:57:43,1/1/22,2:57:00,44562.12292,33.14,56.86,1.8292013733217083
51,2022-01-01 00:00:00,02:59:13,44562.12446,279.5,103.7,9.6,30.0,30.0,0.61,1.7,316.5,0.5625,60.0,2022-01-01 02:59:43,1/1/22,2:59:00,44562.12431,32.71,57.29,1.8505250131253677
55,2022-01-01 00:00:00,03:01:14,44562.12586,278.3,103.7,9.6,30.0,30.0,0.55,1.7,316.5,0.51,60.0,2022-01-01 03:01:44,1/1/22,3:00:59,44562.12569,32.28,57.72,1.8724583783602113
59,2022-01-01 00:00:00,03:03:15,44562.12726,265.2,103.7,9.6,30.0,30.0,0.53,1.7,317.5,0.53,60.0,2022-01-01 03:03:15,1/1/22,3:02:59,44562.12708,31.85,58.15,1.8950259255672013
60,2022-01-01 00:00:00,03:18:39,44562.13796,340.75,103.7,9.6,30.0,30.0,0.63,1.7,302.5,0.63,60.0,2022-01-01 03:18:39,1/1/22,3:18:59,44562.13819,42.75,47.25,1.4731863607705342
61,2022-01-01 00:00:00,03:19:09,44562.1383,340.1,103.7,9.6,30.0,30.0,0.5,1.4,302.0,0.52,60.0,2022-01-01 03:19:39,1/1/22,3:18:59,44562.13819,42.75,47.25,1.4731863607705342
65,2022-01-01 00:00:00,03:21:10,44562.1397,339.9,103.7,9.6,30.0,30.0,0.48,1.4,304.5,0.44,60.0,2022-01-01 03:21:39,1/1/22,3:20:59,44562.13958,42.6,47.4,1.4773755381932514
69,2022-01-01 00:00:00,03:23:10,44562.14109,339.5,103.7,9.6,30.0,30.0,0.46,1.4,307.0,0.4675,60.0,2022-01-01 03:23:40,1/1/22,3:22:59,44562.14097,42.45,47.55,1.4815987920587803
73,2022-01-01 00:00:00,03:25:10,44562.14248,339.5,103.7,9.6,30.0,30.0,0.42,1.6,307.0,0.485,60.0,2022-01-01 03:25:40,1/1/22,3:24:59,44562.14236000001,42.29,47.71,1.486141551808423
77,2022-01-01 00:00:00,03:27:10,44562.14387,338.7,103.7,9.6,30.0,30.0,0.47,1.6,305.5,0.49,60.0,2022-01-01 03:27:40,1/1/22,3:27:00,44562.14375,42.13,47.87,1.4907239152456948
81,2022-01-01 00:00:00,03:29:11,44562.14527,337.9,103.7,9.6,30.0,30.0,0.48,1.5,297.5,0.4825,60.0,2022-01-01 03:29:41,1/1/22,3:29:00,44562.14514,41.96,48.04,1.495636561745363
85,2022-01-01 00:00:00,03:31:11,44562.14666000001,337.2,103.7,9.6,30.0,30.0,0.51,1.5,295.0,0.52,60.0,2022-01-01 03:31:41,1/1/22,3:31:00,44562.14653,41.79,48.21,1.5005949484016323
89,2022-01-01 00:00:00,03:33:11,44562.14805,336.5,103.7,9.6,30.0,30.0,0.49,1.5,303.5,0.53,60.0,2022-01-01 03:33:41,1/1/22,3:33:00,44562.14792,41.61,48.39,1.5058954649548928
93,2022-01-01 00:00:00,03:35:12,44562.14945,336.5,103.7,9.6,30.0,30.0,0.57,1.7,304.5,0.5750000000000001,60.0,2022-01-01 03:35:41,1/1/22,3:35:00,44562.14931,41.43,48.57,1.5112485283129689
97,2022-01-01 00:00:00,03:37:12,44562.15084,335.2,103.7,9.6,30.0,30.0,0.62,1.7,308.5,0.6700000000000002,60.0,2022-01-01 03:37:42,1/1/22,3:36:59,44562.15069,41.25,48.75,1.5166548070806063
101,2022-01-01 00:00:00,03:39:12,44562.15223,335.2,103.7,9.6,30.0,30.0,0.5,1.9,313.5,0.4925,60.0,2022-01-01 03:39:42,1/1/22,3:38:59,44562.15208,41.06,48.94,1.5224199188862704
105,2022-01-01 00:00:00,03:41:12,44562.15362,333.4,103.7,9.6,30.0,30.0,0.64,1.9,317.0,0.595,60.0,2022-01-01 03:41:12,1/1/22,3:40:59,44562.15347,40.87,49.13,1.5282458963970134
107,2022-01-01 00:00:00,03:45:01,44562.15627,329.3,103.7,9.6,30.0,30.0,0.52,2.3,317.0,0.62,60.0,2022-01-01 03:46:02,1/1/22,3:45:00,44562.15625,36.47,53.53,1.6823636614455715
111,2022-01-01 00:00:00,03:47:02,44562.15767,329.3,103.7,9.6,30.0,30.0,0.71,2.3,312.5,0.6275,60.0,2022-01-01 03:48:02,1/1/22,3:47:00,44562.15764,36.25,53.75,1.6911613107742216
115,2022-01-01 00:00:00,03:49:02,44562.15906000001,328.6,103.7,9.6,30.0,30.0,0.55,2.2,311.5,0.605,60.0,2022-01-01 03:50:03,1/1/22,3:49:00,44562.15903,36.02,53.98,1.7004847259611187
119,2022-01-01 00:00:00,04:46:26,44562.19892,113.2,103.7,9.6,30.0,30.0,1.58,4.4,295.5,1.58,60.0,2022-01-01 04:46:26,1/1/22,4:45:59,44562.19861,49.21,40.79,1.3208136270841007
120,2022-01-01 00:00:00,04:46:56,44562.19927,113.2,103.7,9.6,30.0,30.0,1.85,4.4,293.5,1.3975000000000002,60.0,2022-01-01 04:47:57,1/1/22,4:47:00,44562.19931,49.39,40.61,1.3172493425779765
124,2022-01-01 00:00:00,04:48:57,44562.20066,113.2,103.7,9.6,30.0,30.0,1.7,4.4,297.5,1.545,60.0,2022-01-01 04:49:57,1/1/22,4:48:59,44562.20069,49.74,40.26,1.31041043154444
128,2022-01-01 00:00:00,04:51:12,44562.20223,113.2,103.7,9.6,30.0,30.0,1.14,4.1,296.5,1.21,60.0,2022-01-01 04:51:42,1/1/22,4:50:59,44562.20208,50.1,39.9,1.3035002927775803
132,2022-01-01 00:00:00,04:53:12,44562.20362,113.2,103.7,9.6,30.0,30.0,1.07,4.1,294.5,1.005,60.0,2022-01-01 04:53:12,1/1/22,4:52:59,44562.20347,50.45,39.55,1.2969004485364615
134,2022-01-01 00:00:00,04:55:13,44562.20502,113.2,103.7,9.6,30.0,30.0,1.12,4.4,292.5,1.045,60.0,2022-01-01 04:55:13,1/1/22,4:54:59,44562.20486000001,50.8,39.2,1.2904150098185048
136,2022-01-01 00:00:00,04:58:12,44562.20709,113.2,103.7,9.6,30.0,30.0,1.44,4.4,291.0,1.61,60.0,2022-01-01 04:58:12,1/1/22,4:57:59,44562.20694,46.63,43.37,1.3756400810475085
138,2022-01-01 00:00:00,04:59:43,44562.20814,113.2,103.7,9.6,30.0,30.0,1.67,4.8,283.0,1.57,60.0,2022-01-01 04:59:43,1/1/22,4:59:59,44562.20833,46.99,43.01,1.367550056969494
141,2022-01-01 00:00:00,05:01:14,44562.20919,113.2,103.7,9.6,30.0,30.0,1.41,4.8,280.0,1.345,60.0,2022-01-01 05:01:44,1/1/22,5:01:00,44562.20903,47.17,42.83,1.3635607306922064
145,2022-01-01 00:00:00,05:03:14,44562.21059,113.2,103.7,9.6,30.0,30.0,1.45,4.8,287.5,1.45,60.0,2022-01-01 05:03:14,1/1/22,5:03:00,44562.21042,47.53,42.47,1.3556914437380907
146,2022-01-01 00:00:00,05:05:17,44562.21201,113.2,103.7,9.6,30.0,30.0,1.42,3.4,288.0,1.4225,60.0,2022-01-01 05:05:47,1/1/22,5:05:00,44562.21181,47.89,42.11,1.347965374982262
150,2022-01-01 00:00:00,05:07:18,44562.21341,113.2,103.7,9.6,30.0,30.0,1.4,3.4,279.5,1.37,60.0,2022-01-01 05:07:48,1/1/22,5:06:59,44562.21319,48.25,41.75,1.3403794847779624
153,2022-01-01 00:00:00,05:09:04,44562.21464,113.2,103.7,9.6,30.0,30.0,1.17,5.7,285.0,1.1966666666666663,60.0,2022-01-01 05:09:35,1/1/22,5:08:59,44562.21458,48.61,41.39,1.3329308257249022
156,2022-01-01 00:00:00,05:10:58,44562.21596,113.2,103.7,9.6,30.0,30.0,1.07,5.7,279.0,1.16,60.0,2022-01-01 05:11:29,1/1/22,5:10:59,44562.21597,48.97,41.03,1.325616539306183
159,2022-01-01 00:00:00,05:12:59,44562.21736,113.2,103.7,9.6,30.0,30.0,0.95,5.7,280.5,1.1875,60.0,2022-01-01 05:14:00,1/1/22,5:12:59,44562.21736,49.33,40.67,1.3184338526729698
163,2022-01-01 00:00:00,05:15:00,44562.21876,113.2,103.7,9.6,30.0,30.0,1.35,5.4,270.5,1.1666666666666667,60.0,2022-01-01 05:16:01,1/1/22,5:15:00,44562.21875,49.69,40.31,1.311380075569415
166,2022-01-01 00:00:00,05:17:01,44562.22016,113.2,103.7,9.6,30.0,30.0,1.19,5.4,272.0,1.145,60.0,2022-01-01 05:18:01,1/1/22,5:17:00,44562.22014,50.05,39.95,1.3044525973907897
170,2022-01-01 00:00:00,05:19:01,44562.22155,113.2,103.7,9.6,30.0,30.0,0.81,5.8,270.5,1.0375,60.0,2022-01-01 05:20:02,1/1/22,5:19:00,44562.22153,50.41,39.59,1.29764888436817
174,2022-01-01 00:00:00,05:21:02,44562.22295,113.2,103.7,9.6,30.0,30.0,1.11,5.8,270.0,0.995,60.0,2022-01-01 05:22:03,1/1/22,5:21:00,44562.22292,50.77,39.23,1.2909664768734053
178,2022-01-01 00:00:00,05:23:03,44562.22435,113.2,103.7,9.6,30.0,30.0,1.07,5.8,272.0,1.0575,60.0,2022-01-01 05:24:04,1/1/22,5:23:00,44562.22431000001,51.12,38.88,1.2845837209933317
182,2022-01-01 00:00:00,05:25:04,44562.22575,113.2,103.7,9.6,30.0,30.0,0.86,4.3,261.5,0.82,60.0,2022-01-01 05:25:35,1/1/22,5:24:59,44562.22569,51.48,38.52,1.278133621307545
185,2022-01-01 00:00:00,05:27:05,44562.22715,113.2,103.7,9.6,30.0,30.0,0.9,4.3,271.5,0.865,60.0,2022-01-01 05:28:06,1/1/22,5:26:59,44562.22708,51.85,38.15,1.2716235499485118
189,2022-01-01 00:00:00,05:29:05,44562.22854,113.2,103.7,9.6,30.0,30.0,1.0,4.8,276.5,0.965,60.0,2022-01-01 05:30:06,1/1/22,5:28:59,44562.22847,52.21,37.79,1.2654031630234792
193,2022-01-01 00:00:00,05:31:37,44562.23029,113.2,103.7,9.6,30.0,30.0,0.92,4.8,274.5,0.9366666666666666,60.0,2022-01-01 05:32:07,1/1/22,5:32:00,44562.23056,52.74,37.26,1.2564450184626692
196,2022-01-01 00:00:00,05:33:07,44562.23134,113.2,103.7,9.6,30.0,30.0,0.99,4.8,274.0,1.0825,60.0,2022-01-01 05:34:08,1/1/22,5:32:59,44562.23125,52.92,37.08,1.253455715457707
200,2022-01-01 00:00:00,05:35:08,44562.23274,113.2,103.7,9.6,30.0,30.0,1.21,5.5,274.0,1.02,60.0,2022-01-01 05:36:09,1/1/22,5:35:00,44562.23264,53.27,36.73,1.2477188291080379
