datetime,wind
44562.13819,1.4
44562.1383,1.6
44562.13865,1.6
44562.13889,1.6
44562.139,1.6
44562.13935,1.6
44562.13958,1.6
44562.1397,1.6
44562.14004,1.6
44562.14028,1.6
44562.14039,1.6
44562.14074,1.6
44562.14097,1.6
44562.14109,1.6
44562.14144,1.6
44562.14167,1.6
44562.14179,1.5
44562.14213,1.5
44562.14236,1.5
44562.14248,1.5
44562.14283,1.5
44562.14306,1.5
44562.14318,1.5
44562.14353,1.5
44562.14375,1.5
44562.14387,1.5
44562.14422,1.5
44562.14444,1.5
44562.14457,1.5
44562.14492,1.5
44562.14514,1.5
44562.14527,1.9
44562.14562,1.9
44562.14583,1.9
44562.14596,1.9
44562.14631,1.9
44562.14653,1.9
44562.14666,1.9
44562.14701,1.9
44562.14722,1.9
44562.14736,1.9
44562.1477,1.9
44562.14792,1.9
44562.14805,1.9
44562.1484,1.9
44562.14861,1.9
44562.14875,1.9
44562.1491,1.9
44562.14931,1.9
44562.14945,1.9
44562.14979,1.9
44562.15,1.9
44562.15014,1.9
44562.15049,1.9
44562.15069,1.9
44562.15084,1.9
44562.15119,1.9
44562.15139,1.9
44562.15153,1.9
44562.15188,1.9
44562.15208,1.9
