,datetime,fecha,windSp
0,44561.74931,12/31/21 17:59,4.3
1,44561.75278,12/31/21 18:04,3.6
2,44561.75625,12/31/21 18:09,5.0
3,44561.75972,12/31/21 18:14,4.5
4,44561.76319,12/31/21 18:19,3.6
5,44561.76667,12/31/21 18:24,3.3
6,44561.77014,12/31/21 18:29,1.9
7,44561.773610000004,12/31/21 18:34,4.2
8,44561.77708,12/31/21 18:39,3.1
9,44561.78056,12/31/21 18:44,4.4
10,44561.78403,12/31/21 18:49,5.4
11,44561.7875,12/31/21 18:54,4.3
12,44561.79097,12/31/21 18:59,2.9
13,44561.79444,12/31/21 19:04,3.7
14,44561.79792,12/31/21 19:09,4.4
15,44561.80139,12/31/21 19:14,3.2
16,44561.804860000004,12/31/21 19:19,4.4
17,44561.80833,12/31/21 19:24,3.9
18,44561.81181,12/31/21 19:29,4.5
19,44561.81528,12/31/21 19:34,5.5
20,44561.81875,12/31/21 19:39,5.6
21,44561.82222,12/31/21 19:44,1.8
22,44561.82569,12/31/21 19:49,2.6
23,44561.82917,12/31/21 19:54,4.9
24,44561.83264,12/31/21 19:59,4.8
25,44561.836110000004,12/31/21 20:04,4.5
26,44561.83958,12/31/21 20:09,6.0
27,44561.84306,12/31/21 20:14,2.5
28,44561.84653,12/31/21 20:19,7.2
29,44561.85,12/31/21 20:24,5.3
30,44561.85347,12/31/21 20:29,5.8
31,44561.85694,12/31/21 20:34,5.9
32,44561.86042,12/31/21 20:39,5.3
33,44561.86389,12/31/21 20:44,7.0
34,44561.867360000004,12/31/21 20:49,3.8
35,44561.87083,12/31/21 20:54,6.6
36,44561.87431,12/31/21 20:59,7.5
37,44561.87778,12/31/21 21:04,8.3
38,44561.88125,12/31/21 21:09,6.5
39,44561.89514,12/31/21 21:29,7.6
40,44561.90556,12/31/21 21:44,7.5
41,44561.90903,12/31/21 21:49,7.8
42,44561.9125,12/31/21 21:54,7.2
43,44561.91597,12/31/21 21:59,5.6
44,44561.91944,12/31/21 22:04,6.8
45,44561.92292,12/31/21 22:09,7.1
46,44561.92639,12/31/21 22:14,6.2
47,44561.93681,12/31/21 22:29,5.9
48,44561.94028,12/31/21 22:34,6.1
49,44561.94375,12/31/21 22:39,6.8
50,44561.94722,12/31/21 22:44,6.2
51,44561.95069,12/31/21 22:49,6.3
52,44561.95417,12/31/21 22:54,6.2
53,44561.95764,12/31/21 22:59,6.0
54,44561.961110000004,12/31/21 23:04,6.4
55,44561.96458,12/31/21 23:09,6.3
56,44561.96806,12/31/21 23:14,6.1
57,44561.97153,12/31/21 23:19,5.4
58,44561.975,12/31/21 23:24,5.7
59,44561.97847,12/31/21 23:29,5.6
60,44561.98194,12/31/21 23:34,5.7
61,44561.98542,12/31/21 23:39,5.1
62,44561.98889,12/31/21 23:44,5.0
63,44561.99931,12/31/21 23:59,5.1
64,44562.00278,1/1/22 0:04,4.2
65,44562.00625,1/1/22 0:09,4.6
66,44562.00972,1/1/22 0:14,4.0
67,44562.01319,1/1/22 0:19,4.1
68,44562.01667,1/1/22 0:24,4.2
69,44562.02708,1/1/22 0:39,4.1
70,44562.03056,1/1/22 0:44,3.6
71,44562.03403,1/1/22 0:49,2.6
72,44562.0375,1/1/22 0:54,3.0
73,44562.04097,1/1/22 0:59,3.2
74,44562.04444,1/1/22 1:04,1.4
75,44562.04792,1/1/22 1:09,0.6
76,44562.06181,1/1/22 1:29,0.1
77,44562.06528,1/1/22 1:34,0.4
78,44562.06875,1/1/22 1:39,0.2
79,44562.07222,1/1/22 1:44,0.1
80,44562.08264,1/1/22 1:59,0.5
81,44562.086110000004,1/1/22 2:04,0.6
82,44562.08958,1/1/22 2:09,0.9
83,44562.09306,1/1/22 2:14,1.3
84,44562.09653,1/1/22 2:19,1.7
85,44562.1,1/1/22 2:24,2.0
86,44562.11042,1/1/22 2:39,1.5
87,44562.11389,1/1/22 2:44,1.7
88,44562.12778,1/1/22 3:04,2.0
89,44562.13125,1/1/22 3:09,1.9
90,44562.13472,1/1/22 3:14,1.7
91,44562.13819,1/1/22 3:19,1.4
92,44562.14167,1/1/22 3:24,1.6
93,44562.14514,1/1/22 3:29,1.5
94,44562.148610000004,1/1/22 3:34,1.7
95,44562.15208,1/1/22 3:39,1.9
96,44562.15556,1/1/22 3:44,2.3
97,44562.15903,1/1/22 3:49,2.2
98,44562.1625,1/1/22 3:54,2.1
99,44562.16597,1/1/22 3:59,2.3
100,44562.16944,1/1/22 4:04,2.9
101,44562.17292,1/1/22 4:09,2.7
102,44562.17639,1/1/22 4:14,2.3
