datetime,p2,wind
44562.04097,4.73500,3.2
44562.04792,0.86750,0.6
44562.06181,0.83000,0.1
44562.11042,0.62667,1.5
44562.11389,0.54800,1.7
44562.12778,0.55912,2.0
44562.13819,0.63000,1.4
44562.14167,0.48100,1.6
44562.14514,0.48000,1.5
44562.148610000004,0.50200,1.7
44562.15208,0.60900,1.9
44562.15556,0.52667,2.3
44562.15903,0.62375,2.2
44562.1625,0.60500,2.1
44562.20069,1.47833,4.1
44562.20417,1.25889,4.4
44562.20764,1.63000,4.8
44562.211110000004,1.57667,3.4
44562.21458,1.59111,5.7
44562.21806,1.20333,5.4
44562.22153,1.37889,5.8
44562.225,1.03700,4.3
44562.22847,1.01400,4.8
44562.23194,1.07500,5.5
44562.23542,1.05333,5.6
44562.23889,1.14778,4.6
44562.242360000004,1.20000,5.5
44562.336110000004,3.16000,7.1
44562.33958,1.47500,5.4
44562.34306,1.74250,5.8
44562.42292,1.62000,7.5
44563.02014,1.47500,0.7
44563.023610000004,1.40400,1.9
44563.03403,1.24333,1.6
44563.0375,1.10667,1.0
44563.32917,0.89833,5.3
44563.33264,1.08400,5.5
44563.336110000004,1.31300,5.3
44563.33958,1.35500,5.6
44563.35,0.75778,5.2
44563.35347,0.85625,5.5
44563.35694,6.11000,5.6
44563.36042,1.52000,6.0
44563.36389,0.64667,6.1
44563.367360000004,0.63667,6.5
44563.37083,0.63500,6.9
44563.42292,0.63000,7.9
44563.49583,0.63000,7.7
44564.02708,0.66250,4.0
44564.03056,0.59000,4.7
44564.20069,0.77667,3.5
44564.20417,0.74200,4.4
44564.20764,0.66333,4.0
44564.211110000004,0.87778,3.3
44564.21458,0.67700,3.4
44564.21806,0.72100,3.0
44564.22153,0.72500,3.8
44564.225,0.62700,2.7
44564.22847,0.64300,3.1
44564.23194,0.75800,3.8
44564.23542,0.81200,3.3
44564.23889,0.66600,2.8
44564.242360000004,0.74600,2.7
44564.24583,0.87500,2.2
44564.25625,0.58667,2.2
44564.25972,0.62700,2.0
44564.26319,0.69000,2.2
44564.26667,0.82000,2.0
44564.27014,0.83167,1.3
44564.273610000004,0.73100,2.3
44564.27708,0.63200,1.8
44564.28056,0.55400,1.7
44564.29444,1.11500,1.7
44564.29792,0.47700,2.0
44564.30139,0.59400,2.1
44564.304860000004,0.53200,2.5
44564.30833,0.66900,3.0
44564.31181,0.47100,2.1
44564.31528,0.40333,3.2
44564.31875,0.41444,3.3
44564.32222,0.87500,3.8
44564.32569,0.65500,3.4
44564.32917,0.80571,3.7
44564.33264,0.69100,3.3
44564.336110000004,1.23000,3.5
44564.33958,0.73250,3.9
44564.34306,0.63800,3.4
44564.34653,0.54400,3.3
44564.35,0.49500,4.3
44564.35347,0.47400,4.5
44564.35694,0.45200,4.3
44564.36042,0.40500,3.8
44564.42292,0.46000,5.3
44564.49583,0.46000,2.7
44565.02014,0.65400,0.7
44565.023610000004,0.62143,1.1
