,datetime,p2,wind
70,44562.04097,4.73,3.2
72,44562.04792,0.87,0.6
73,44562.06181,0.83,0.1
83,44562.11042,0.63,1.5
84,44562.11389,0.55,1.7
85,44562.12778,0.56,2.0
88,44562.13819,0.63,1.4
89,44562.14167,0.48,1.6
90,44562.14514,0.48,1.5
91,44562.148610000004,0.5,1.7
92,44562.15208,0.61,1.9
93,44562.15556,0.53,2.3
94,44562.15903,0.62,2.2
95,44562.1625,0.6,2.1
106,44562.20069,1.48,4.1
107,44562.20417,1.26,4.4
108,44562.20764,1.63,4.8
109,44562.211110000004,1.58,3.4
110,44562.21458,1.59,5.7
111,44562.21806,1.2,5.4
112,44562.22153,1.38,5.8
113,44562.225,1.04,4.3
114,44562.22847,1.01,4.8
115,44562.23194,1.07,5.5
116,44562.23542,1.05,5.6
117,44562.23889,1.15,4.6
118,44562.242360000004,1.2,5.5
139,44562.336110000004,3.16,7.1
140,44562.33958,1.47,5.4
141,44562.34306,1.74,5.8
164,44562.42292,1.62,7.5
315,44563.02014,1.48,0.7
316,44563.023610000004,1.4,1.9
317,44563.03403,1.24,1.6
318,44563.0375,1.11,1.0
390,44563.32917,0.9,5.3
391,44563.33264,1.08,5.5
392,44563.336110000004,1.31,5.3
393,44563.33958,1.35,5.6
394,44563.35,0.76,5.2
395,44563.35347,0.86,5.5
396,44563.35694,6.11,5.6
397,44563.36042,1.52,6.0
398,44563.36389,0.65,6.1
399,44563.367360000004,0.64,6.5
400,44563.37083,0.63,6.9
415,44563.42292,0.63,7.9
431,44563.49583,0.63,7.7
573,44564.02708,0.66,4.0
574,44564.03056,0.59,4.7
619,44564.20069,0.78,3.5
620,44564.20417,0.74,4.4
621,44564.20764,0.66,4.0
622,44564.211110000004,0.88,3.3
623,44564.21458,0.68,3.4
624,44564.21806,0.72,3.0
625,44564.22153,0.73,3.8
626,44564.225,0.63,2.7
627,44564.22847,0.64,3.1
628,44564.23194,0.76,3.8
629,44564.23542,0.81,3.3
630,44564.23889,0.67,2.8
631,44564.242360000004,0.75,2.7
632,44564.24583,0.88,2.2
633,44564.25625,0.59,2.2
634,44564.25972,0.63,2.0
635,44564.26319,0.69,2.2
636,44564.26667,0.82,2.0
637,44564.27014,0.83,1.3
638,44564.273610000004,0.73,2.3
639,44564.27708,0.63,1.8
640,44564.28056,0.55,1.7
644,44564.29444,1.11,1.7
645,44564.29792,0.48,2.0
646,44564.30139,0.59,2.1
647,44564.304860000004,0.53,2.5
648,44564.30833,0.67,3.0
649,44564.31181,0.47,2.1
650,44564.31528,0.4,3.2
651,44564.31875,0.41,3.3
652,44564.32222,0.88,3.8
653,44564.32569,0.65,3.4
654,44564.32917,0.81,3.7
655,44564.33264,0.69,3.3
656,44564.336110000004,1.23,3.5
657,44564.33958,0.73,3.9
658,44564.34306,0.64,3.4
659,44564.34653,0.54,3.3
660,44564.35,0.49,4.3
661,44564.35347,0.47,4.5
662,44564.35694,0.45,4.3
663,44564.36042,0.41,3.8
666,44564.42292,0.46,5.3
667,44564.49583,0.46,2.7
735,44565.02014,0.65,0.7
736,44565.023610000004,0.62,1.1
737,44565.02708,0.58,1.6
794,44565.32569,1.26,4.9
795,44565.32917,0.66,5.1
796,44565.33264,0.61,5.2
797,44565.336110000004,0.64,5.1
798,44565.33958,0.73,5.0
799,44565.34306,0.65,5.1
800,44565.34653,0.65,5.0
801,44565.35,0.68,5.2
802,44565.35347,0.78,5.4
814,44565.42292,0.59,6.3
898,44566.0375,0.84,1.4
910,44566.11389,0.99,1.0
911,44566.117360000004,0.89,1.5
912,44566.12083,0.71,0.3
913,44566.13125,0.57,0.9
914,44566.13472,0.46,0.1
915,44566.13819,0.47,0.2
916,44566.14167,0.46,0.4
917,44566.14514,0.52,1.3
918,44566.148610000004,0.5,1.0
919,44566.15208,0.49,1.3
920,44566.15556,0.46,0.7
921,44566.15903,0.47,1.0
922,44566.1625,0.44,1.3
923,44566.17292,0.44,0.9
924,44566.17639,0.48,0.8
925,44566.179860000004,0.52,0.6
926,44566.19722,0.48,1.2
927,44566.20069,0.49,1.4
928,44566.20417,0.46,1.7
934,44566.23542,0.4,1.3
935,44566.23889,0.7,1.4
936,44566.242360000004,0.83,1.6
937,44566.24583,0.63,1.4
938,44566.24931,0.8,1.7
939,44566.25278,0.43,1.8
953,44566.33958,6.62,0.6
954,44566.34306,1.33,0.4
955,44566.34653,0.5,0.8
956,44566.35,0.43,0.9
957,44566.35347,0.51,1.0
958,44566.35694,0.53,1.1
959,44566.36042,0.57,1.2
960,44566.36389,0.74,1.0
961,44566.37431,0.84,1.0
975,44566.42292,0.6,3.9
1017,44567.03056,0.41,1.9
1072,44567.26667,0.39,2.6
1073,44567.27708,0.28,2.3
1074,44567.28056,0.3,2.6
1075,44567.28403,0.31,3.0
1076,44567.2875,0.28,2.8
1077,44567.29097,0.26,2.5
1078,44567.29444,0.3,2.2
1079,44567.29792,0.35,2.5
1080,44567.30139,0.3,2.2
1081,44567.304860000004,0.26,2.0
1084,44567.31528,0.46,2.2
1085,44567.31875,0.31,2.1
1086,44567.32222,0.39,2.5
1087,44567.33264,0.34,1.3
1088,44567.336110000004,0.4,0.8
1089,44567.33958,0.43,0.4
1090,44567.34306,0.41,0.7
1091,44567.35694,0.36,1.0
1092,44567.367360000004,0.39,0.5
1104,44567.429860000004,0.34,0.9
1121,44567.49583,0.34,0.7
1206,44568.03403,1.29,1.4
1207,44568.05139,0.44,0.8
1220,44568.12083,0.34,0.8
1221,44568.12431,0.28,1.1
1222,44568.12778,0.23,1.0
1223,44568.13125,0.26,1.2
1225,44568.13819,0.35,0.3
1226,44568.14167,0.28,0.5
1227,44568.14514,0.33,0.3
1228,44568.148610000004,0.3,0.6
1229,44568.15208,0.25,1.0
1230,44568.15556,0.67,0.7
1231,44568.15903,0.46,0.5
1232,44568.1625,0.48,0.9
1233,44568.16597,0.33,1.0
1234,44568.16944,0.33,0.4
1235,44568.17292,0.29,1.0
1236,44568.17639,0.3,1.2
1237,44568.179860000004,0.33,1.5
1238,44568.18333,0.31,1.3
1239,44568.18681,0.28,1.2
1240,44568.19722,0.48,1.7
1242,44568.20417,0.34,0.9
1243,44568.20764,0.34,1.0
1244,44568.21806,0.37,1.7
1245,44568.22153,0.36,1.5
1246,44568.225,0.4,1.1
1247,44568.22847,0.46,1.0
1248,44568.242360000004,0.38,1.6
1249,44568.24583,0.27,1.5
1250,44568.24931,0.3,0.6
1251,44568.25278,0.23,1.0
1252,44568.26319,0.3,0.8
1253,44568.26667,0.41,0.7
1254,44568.27014,0.35,1.1
1255,44568.273610000004,0.34,0.9
1256,44568.27708,0.39,1.0
1257,44568.28056,0.31,1.3
1258,44568.28403,0.38,1.2
1259,44568.2875,0.41,1.3
1260,44568.29097,0.43,1.4
1262,44568.31875,0.5,1.4
1263,44568.32222,0.42,1.3
1264,44568.32569,0.41,0.8
1265,44568.32917,0.49,1.0
1266,44568.33264,0.63,1.2
1267,44568.336110000004,0.52,1.0
1268,44568.33958,0.53,1.3
1269,44568.34306,0.57,1.0
1270,44568.36042,0.49,1.4
1271,44568.37083,0.55,1.6
1282,44568.42292,0.71,1.8
1301,44568.49583,0.71,0.1
1328,44568.59653,4.19,3.6
1329,44568.6,4.19,3.4
1441,44569.02014,0.83,3.8
1443,44569.02708,0.32,1.5
1487,44569.19722,0.47,1.3
1488,44569.20069,0.44,1.7
1489,44569.20417,0.39,1.5
1490,44569.20764,0.43,1.6
1491,44569.21806,0.49,2.0
1492,44569.22153,0.43,1.4
1493,44569.225,0.51,1.5
1494,44569.22847,0.49,1.9
1495,44569.23194,0.47,2.0
1496,44569.23542,0.44,1.3
1497,44569.23889,0.38,1.2
1498,44569.242360000004,2.06,1.4
1499,44569.24583,0.46,2.0
1500,44569.24931,0.53,1.9
1501,44569.25278,0.46,1.3
1502,44569.25625,0.48,1.6
1503,44569.25972,0.45,1.4
1504,44569.27014,0.36,1.4
1505,44569.28056,0.34,1.9
1506,44569.30139,0.63,2.3
1507,44569.304860000004,0.56,2.2
1508,44569.30833,0.46,1.8
1511,44569.33264,0.35,1.4
1512,44569.336110000004,0.35,1.7
1513,44569.33958,0.89,1.8
1514,44569.34306,0.72,1.6
1515,44569.34653,0.5,1.3
1516,44569.35,0.61,1.7
1517,44569.35347,0.64,1.6
1518,44569.35694,0.6,1.5
1519,44569.367360000004,0.53,1.0
1520,44569.37778,0.45,1.0
1531,44569.42292,0.47,1.1
1688,44570.023610000004,0.66,2.5
1689,44570.02708,0.62,3.9
1691,44570.03403,0.53,2.2
1697,44570.06181,0.58,4.5
1698,44570.07569,0.44,2.2
1699,44570.086110000004,0.53,2.4
1700,44570.08958,0.45,2.6
1701,44570.1,0.39,2.8
1702,44570.10347,0.32,3.3
1704,44570.11042,0.46,3.0
1705,44570.11389,0.41,3.4
1706,44570.117360000004,0.41,2.5
1707,44570.12083,0.48,3.0
1708,44570.12431,0.38,2.7
1709,44570.12778,0.32,3.2
1710,44570.13125,0.36,4.3
1711,44570.13472,0.35,3.7
1712,44570.13819,0.32,3.9
1713,44570.14167,0.4,3.6
1716,44570.15208,0.56,3.8
1717,44570.15556,0.48,3.7
1718,44570.15903,0.48,3.8
1719,44570.1625,0.48,3.4
1720,44570.17292,1.12,3.2
1721,44570.17639,0.96,3.5
