,fecha,hour,datetime,p2,wind
0,1/1/22,  00:58:59,44562.04097,4.73,3.2
1,1/1/22,  01:09:00,44562.04792,0.87,0.6
2,1/1/22,  01:29:00,44562.06181,0.83,0.1
3,1/1/22,  02:39:00,44562.11042,0.63,1.5
4,1/1/22,  02:44:00,44562.11389,0.55,1.7
5,1/1/22,  03:04:00,44562.12778,0.56,2.0
6,1/1/22,  03:18:59,44562.13819,0.63,1.4
7,1/1/22,  03:24:00,44562.14167,0.48,1.6
8,1/1/22,  03:29:00,44562.14514,0.48,1.5
9,1/1/22,  03:33:59,44562.148610000004,0.5,1.7
10,1/1/22,  03:38:59,44562.15208,0.61,1.9
11,1/1/22,  03:44:00,44562.15556,0.53,2.3
12,1/1/22,  03:49:00,44562.15903,0.62,2.2
13,1/1/22,  03:53:59,44562.1625,0.6,2.1
14,1/1/22,  04:48:59,44562.20069,1.48,4.1
15,1/1/22,  04:54:00,44562.20417,1.26,4.4
16,1/1/22,  04:59:00,44562.20764,1.63,4.8
17,1/1/22,  05:03:59,44562.211110000004,1.58,3.4
18,1/1/22,  05:08:59,44562.21458,1.59,5.7
19,1/1/22,  05:14:00,44562.21806,1.2,5.4
20,1/1/22,  05:19:00,44562.22153,1.38,5.8
21,1/1/22,  05:23:59,44562.225,1.04,4.3
22,1/1/22,  05:28:59,44562.22847,1.01,4.8
23,1/1/22,  05:33:59,44562.23194,1.07,5.5
24,1/1/22,  05:39:00,44562.23542,1.05,5.6
25,1/1/22,  05:44:00,44562.23889,1.15,4.6
26,1/1/22,  05:48:59,44562.242360000004,1.2,5.5
27,1/2/22,  00:29:00,44563.02014,1.48,0.7
28,1/2/22,  00:33:59,44563.023610000004,1.4,1.9
29,1/2/22,  00:49:00,44563.03403,1.24,1.6
30,1/2/22,  00:53:59,44563.0375,1.11,1.0
31,1/3/22,  00:38:59,44564.02708,0.66,4.0
32,1/3/22,  00:44:00,44564.03056,0.59,4.7
33,1/3/22,  04:48:59,44564.20069,0.78,3.5
34,1/3/22,  04:54:00,44564.20417,0.74,4.4
35,1/3/22,  04:59:00,44564.20764,0.66,4.0
36,1/3/22,  05:03:59,44564.211110000004,0.88,3.3
37,1/3/22,  05:08:59,44564.21458,0.68,3.4
38,1/3/22,  05:14:00,44564.21806,0.72,3.0
39,1/3/22,  05:19:00,44564.22153,0.73,3.8
40,1/3/22,  05:23:59,44564.225,0.63,2.7
41,1/3/22,  05:28:59,44564.22847,0.64,3.1
42,1/3/22,  05:33:59,44564.23194,0.76,3.8
43,1/3/22,  05:39:00,44564.23542,0.81,3.3
44,1/3/22,  05:44:00,44564.23889,0.67,2.8
45,1/3/22,  05:48:59,44564.242360000004,0.75,2.7
46,1/3/22,  05:53:59,44564.24583,0.88,2.2
47,1/4/22,  00:29:00,44565.02014,0.65,0.7
48,1/4/22,  00:33:59,44565.023610000004,0.62,1.1
49,1/4/22,  00:38:59,44565.02708,0.58,1.6
50,1/5/22,  00:53:59,44566.0375,0.84,1.4
51,1/5/22,  02:44:00,44566.11389,0.99,1.0
52,1/5/22,  02:48:59,44566.117360000004,0.89,1.5
53,1/5/22,  02:53:59,44566.12083,0.71,0.3
54,1/5/22,  03:08:59,44566.13125,0.57,0.9
55,1/5/22,  03:13:59,44566.13472,0.46,0.1
