datetime1,temp_out,datetime2,temp_in
2021-12-31 17:59:58.288349,15.25,2021-12-31 17:44:00.314901,17.02
2021-12-31 18:04:58.286368,15.2,2021-12-31 18:04:00.314727,17.04
2021-12-31 18:09:58.284329,14.31,2021-12-31 18:09:00.316125,17.11
2021-12-31 18:14:58.282319,14.4,2021-12-31 18:14:00.310530,17.0
2021-12-31 18:19:58.290270,15.05,2021-12-31 18:19:00.310956,16.93
2021-12-31 18:24:58.288235,14.73,2021-12-31 18:24:00.309326,16.92
2021-12-31 18:29:58.286197,15.26,2021-12-31 18:29:00.309762,17.0
2021-12-31 18:34:58.284175,15.39,2021-12-31 18:34:00.312166,16.93
2021-12-31 18:39:58.292149,14.69,2021-12-31 18:39:00.314561,16.98
2021-12-31 18:44:58.290151,15.27,2021-12-31 18:44:00.318037,16.95
2021-12-31 18:49:58.288100,14.61,2021-12-31 18:49:00.318311,16.99
2021-12-31 18:54:58.286036,14.32,2021-12-31 18:59:00.319098,16.9
2021-12-31 18:59:58.294005,15.92,2021-12-31 19:04:00.312523,16.99
2021-12-31 19:04:58.291970,14.25,2021-12-31 19:09:00.318914,16.9
2021-12-31 19:09:58.289934,14.41,2021-12-31 19:14:00.314264,16.92
2021-12-31 19:14:58.287853,14.35,2021-12-31 19:19:00.314651,16.89
2021-12-31 19:19:58.285785,14.43,2021-12-31 19:24:00.313025,16.9
2021-12-31 19:24:58.293714,14.95,2021-12-31 19:29:00.318375,16.92
2021-12-31 19:29:58.291676,15.17,2021-12-31 19:34:00.324756,16.84
2021-12-31 19:34:58.289574,15.52,2021-12-31 19:39:00.316148,16.8
2021-12-31 19:39:59.128847,14.86,2021-12-31 19:49:00.333889,16.86
2021-12-31 19:44:59.126791,15.79,2021-12-31 19:59:00.354686,16.84
2021-12-31 19:49:59.144686,16.27,2021-12-31 20:04:00.354039,16.79
2021-12-31 19:54:59.122789,15.41,2021-12-31 20:09:00.363510,16.86
2021-12-31 19:59:59.130618,14.29,2021-12-31 20:14:00.353125,16.74
2021-12-31 20:04:59.128576,14.85,2021-12-31 20:19:00.340742,16.76
2021-12-31 20:09:59.126671,15.1,2021-12-31 20:24:00.344329,16.77
2021-12-31 20:14:59.124838,15.08,2021-12-31 20:29:00.374727,16.76
2021-12-31 20:19:59.132981,14.79,2021-12-31 20:34:00.350173,16.74
2021-12-31 20:24:59.131071,15.13,2021-12-31 20:39:00.366604,16.71
2021-12-31 20:29:59.129073,14.85,2021-12-31 20:44:00.352010,16.76
2021-12-31 20:34:59.127021,14.96,2021-12-31 20:49:00.350461,16.77
2021-12-31 20:39:59.125076,15.09,2021-12-31 20:54:00.361899,16.74
2021-12-31 20:44:59.142985,15.08,2021-12-31 21:04:00.368712,16.71
2021-12-31 20:49:59.131006,15.34,2021-12-31 21:14:00.370428,16.7
2021-12-31 20:54:59.128998,15.04,2021-12-31 21:24:00.352164,16.71
2021-12-31 20:59:59.127073,15.26,2021-12-31 21:29:00.347589,16.7
2021-12-31 21:04:59.134908,14.73,2021-12-31 21:34:00.316024,16.66
2021-12-31 21:09:59.132774,14.88,2021-12-31 21:49:00.314366,16.64
2021-12-31 21:14:59.130712,14.95,2021-12-31 21:54:00.316161,16.6
2021-12-31 21:19:59.128578,14.82,2021-12-31 22:04:00.314115,16.58
2021-12-31 21:24:59.136510,14.81,2021-12-31 22:19:00.317498,16.57
2021-12-31 21:29:59.134423,14.59,2021-12-31 22:24:00.309987,16.55
2021-12-31 21:34:59.132365,14.52,2021-12-31 22:29:00.311448,16.48
2021-12-31 21:39:59.130736,14.63,2021-12-31 22:34:00.316844,16.49
2021-12-31 21:44:59.129103,14.58,2021-12-31 22:39:00.312376,16.47
2021-12-31 21:49:59.137431,14.8,2021-12-31 22:54:00.316525,16.45
2021-12-31 21:54:59.135669,14.76,2021-12-31 22:59:00.312793,16.43
2021-12-31 21:59:59.133657,14.77,2021-12-31 23:04:00.312114,16.41
2021-12-31 22:04:59.131698,14.47,2021-12-31 23:09:00.314470,16.7
2021-12-31 22:09:59.149704,14.58,2021-12-31 23:14:00.312783,17.04
2021-12-31 22:14:59.137713,14.61,2021-12-31 23:19:00.312169,17.24
2021-12-31 22:19:59.135623,14.65,2021-12-31 23:24:00.312480,17.36
2021-12-31 22:24:59.133596,14.6,2021-12-31 23:29:00.311768,17.44
2021-12-31 22:29:59.131567,14.54,2021-12-31 23:34:00.314096,16.9
2021-12-31 22:34:59.139577,14.56,2021-12-31 23:39:00.310404,16.47
2021-12-31 22:39:59.137546,14.62,2021-12-31 23:44:00.312799,16.38
2021-12-31 22:44:59.135635,14.72,2021-12-31 23:49:00.313158,16.36
2021-12-31 22:49:59.133417,14.71,2021-12-31 23:54:00.319571,16.39
2021-12-31 22:54:59.141263,14.83,2021-12-31 23:59:00.313936,16.11
2021-12-31 22:59:59.139070,14.84,2022-01-01 00:04:00.316319,16.03
2021-12-31 23:04:59.136907,14.72,2022-01-01 00:09:00.323709,15.95
2021-12-31 23:09:59.134725,14.86,2022-01-01 00:14:00.317015,15.99
2021-12-31 23:14:58.924321,14.74,2022-01-01 00:19:00.324373,16.03
2021-12-31 23:19:58.685150,14.64,2022-01-01 00:24:00.312829,15.95
2021-12-31 23:24:58.692932,14.82,2022-01-01 00:29:00.324191,15.85
