datetime,outside_temp,inside_temp
2021-12-31 17:59:58.288349,15.25,17.04
2021-12-31 18:04:58.286368,15.2,17.11
2021-12-31 18:09:58.284329,14.31,17.0
2021-12-31 18:14:58.282319,14.4,16.93
2021-12-31 18:19:58.290270,15.05,16.92
2021-12-31 18:24:58.288235,14.73,17.0
2021-12-31 18:29:58.286197,15.26,16.93
2021-12-31 18:34:58.284175,15.39,16.98
2021-12-31 18:39:58.292149,14.69,16.95
2021-12-31 18:44:58.290151,15.27,16.99
2021-12-31 18:54:58.286036,14.32,16.9
2021-12-31 18:59:58.294005,15.92,16.99
2021-12-31 19:04:58.291970,14.25,16.9
2021-12-31 19:09:58.289934,14.41,16.92
2021-12-31 19:14:58.287853,14.35,16.89
2021-12-31 19:19:58.285785,14.43,16.9
2021-12-31 19:24:58.293714,14.95,16.92
2021-12-31 19:29:58.291676,15.17,16.84
2021-12-31 19:34:58.289574,15.52,16.8
2021-12-31 19:44:59.126791,15.79,16.86
2021-12-31 19:54:59.122789,15.41,16.84
2021-12-31 19:59:59.130618,14.29,16.79
2021-12-31 20:04:59.128576,14.85,16.86
2021-12-31 20:09:59.126671,15.1,16.74
2021-12-31 20:14:59.124838,15.08,16.76
2021-12-31 20:19:59.132981,14.79,16.77
2021-12-31 20:24:59.131071,15.13,16.76
2021-12-31 20:29:59.129073,14.85,16.74
2021-12-31 20:34:59.127021,14.96,16.71
2021-12-31 20:39:59.125076,15.09,16.76
2021-12-31 20:44:59.142985,15.08,16.77
2021-12-31 20:49:59.131006,15.34,16.74
2021-12-31 20:59:59.127073,15.26,16.71
2021-12-31 21:09:59.132774,14.88,16.7
2021-12-31 21:19:59.128578,14.82,16.71
2021-12-31 21:24:59.136510,14.81,16.7
2021-12-31 21:29:59.134423,14.59,16.66
2021-12-31 21:44:59.129103,14.58,16.64
2021-12-31 21:49:59.137431,14.8,16.6
2021-12-31 21:59:59.133657,14.77,16.58
2021-12-31 22:14:59.137713,14.61,16.57
2021-12-31 22:19:59.135623,14.65,16.55
2021-12-31 22:24:59.133596,14.6,16.48
2021-12-31 22:29:59.131567,14.54,16.49
2021-12-31 22:34:59.139577,14.56,16.47
2021-12-31 22:49:59.133417,14.71,16.45
2021-12-31 22:54:59.141263,14.83,16.43
2021-12-31 22:59:59.139070,14.84,16.41
2021-12-31 23:04:59.136907,14.72,16.7
2021-12-31 23:09:59.134725,14.86,17.04
2021-12-31 23:14:58.924321,14.74,17.24
2021-12-31 23:19:58.685150,14.64,17.36
2021-12-31 23:24:58.692932,14.82,17.44
2021-12-31 23:29:58.690647,14.79,16.9
2021-12-31 23:34:58.708523,14.7,16.47
2021-12-31 23:39:58.686338,14.75,16.38
2021-12-31 23:44:58.308223,14.86,16.36
2021-12-31 23:54:59.135423,14.85,16.39
2021-12-31 23:54:59.135423,14.85,16.11
2021-12-31 23:59:59.143331,14.79,16.03
2022-01-01 00:04:59.141154,14.68,15.95
2022-01-01 00:09:59.139030,14.75,15.99
2022-01-01 00:14:59.136879,14.74,16.03
2022-01-01 00:19:59.134752,14.7,15.95
2022-01-01 00:24:59.132675,14.63,15.85
2022-01-01 00:29:59.140562,14.87,15.88
2022-01-01 00:34:59.138399,14.9,15.85
2022-01-01 00:39:59.136214,14.87,15.79
2022-01-01 00:44:59.134063,14.94,15.63
2022-01-01 00:49:59.141835,14.98,15.14
2022-01-01 00:54:59.139718,15.11,15.11
2022-01-01 00:59:59.137512,14.87,15.2
2022-01-01 01:04:59.135343,15.26,15.29
2022-01-01 01:09:59.143127,16.78,16.38
2022-01-01 01:14:59.140959,16.9,16.19
2022-01-01 01:19:58.663386,16.57,15.81
2022-01-01 01:24:58.512546,16.29,15.36
2022-01-01 01:29:59.134607,16.4,15.27
2022-01-01 01:34:58.508185,16.43,15.33
2022-01-01 01:39:58.308932,16.31,15.31
2022-01-01 01:49:58.304702,16.46,15.56
2022-01-01 01:49:58.304702,16.46,15.74
2022-01-01 01:54:58.764594,16.63,15.59
2022-01-01 01:59:58.300462,16.58,15.51
2022-01-01 02:04:58.505621,16.64,15.45
2022-01-01 02:09:58.295967,16.6,15.67
2022-01-01 02:19:58.301517,16.7,15.53
2022-01-01 02:19:58.301517,16.7,15.87
2022-01-01 02:24:58.882508,16.89,15.95
2022-01-01 02:29:58.662971,16.9,15.99
2022-01-01 02:34:58.888007,16.89,15.63
2022-01-01 02:39:58.698616,16.99,16.35
2022-01-01 02:44:58.676538,16.92,16.67
2022-01-01 02:54:58.306154,16.84,16.6
2022-01-01 03:04:58.301784,16.8,16.49
2022-01-01 03:09:58.299626,16.75,16.31
2022-01-01 03:14:58.297472,16.73,16.32
2022-01-01 03:24:58.303193,16.75,16.29
2022-01-01 03:34:58.298914,16.77,16.32
2022-01-01 03:34:58.298914,16.77,16.41
2022-01-01 03:44:58.304668,16.72,16.45
2022-01-01 03:44:58.304668,16.72,16.33
2022-01-01 03:49:58.302526,16.67,16.23
2022-01-01 03:54:58.300490,16.6,16.25
2022-01-01 03:59:58.298423,16.59,16.26
2022-01-01 04:04:58.306357,16.49,16.04
2022-01-01 04:09:58.304257,16.12,15.9
2022-01-01 04:14:58.302188,15.93,15.75
2022-01-01 04:19:58.300100,15.87,15.49
2022-01-01 04:24:58.297999,15.56,15.42
2022-01-01 04:29:58.295928,15.42,15.61
2022-01-01 04:34:58.303865,14.8,15.46
2022-01-01 04:39:58.311789,15.74,15.04
2022-01-01 04:44:58.299620,15.44,15.18
2022-01-01 04:49:58.297473,15.78,14.98
2022-01-01 04:54:58.295319,15.23,15.18
2022-01-01 04:59:58.303186,15.9,15.26
2022-01-01 05:04:58.301062,15.48,15.11
2022-01-01 05:09:58.298926,15.19,14.91
2022-01-01 05:14:58.296796,14.95,14.96
2022-01-01 05:19:58.294709,14.52,14.72
2022-01-01 05:24:58.302641,14.66,14.76
2022-01-01 05:34:58.298455,14.61,14.46
2022-01-01 05:34:58.298455,14.61,14.37
2022-01-01 05:39:58.296349,13.49,14.09
2022-01-01 05:44:58.294281,13.17,13.86
2022-01-01 05:49:58.302187,13.52,13.77
2022-01-01 05:54:58.300075,13.27,13.74
2022-01-01 05:59:58.297989,13.11,13.73
2022-01-01 06:04:58.305877,13.22,13.58
2022-01-01 06:09:58.293782,12.71,13.46
2022-01-01 06:19:58.299475,13.05,13.27
2022-01-01 06:19:58.299475,13.05,13.14
2022-01-01 06:24:58.297344,12.33,13.06
2022-01-01 06:29:58.295246,12.25,12.66
2022-01-01 06:34:58.293111,11.98,12.4
2022-01-01 06:39:58.300979,11.51,11.98
2022-01-01 06:44:58.318819,11.12,11.73
2022-01-01 06:49:58.296728,11.08,11.51
2022-01-01 06:54:58.304616,10.13,11.03
2022-01-01 06:59:58.292495,10.15,10.97
2022-01-01 07:04:58.300339,10.13,10.94
2022-01-01 07:09:58.298217,10.21,10.87
2022-01-01 07:14:58.296051,10.1,10.71
2022-01-01 07:19:58.293914,10.07,10.55
2022-01-01 07:24:58.291790,9.73,10.35
2022-01-01 07:29:58.299600,9.56,10.14
2022-01-01 07:34:58.297484,9.57,10.16
2022-01-01 07:39:58.295365,9.43,10.1
2022-01-01 07:44:58.293192,9.53,10.09
2022-01-01 07:49:58.301026,9.92,10.04
2022-01-01 07:54:58.298928,9.44,10.14
2022-01-01 07:59:58.296818,9.73,10.41
2022-01-01 08:04:58.294659,9.27,10.25
2022-01-01 08:09:58.292529,8.95,10.21
2022-01-01 08:14:58.300451,9.51,10.52
2022-01-01 08:19:58.298294,9.64,11.05
2022-01-01 08:24:59.127476,9.29,11.14
2022-01-01 08:29:59.125402,9.59,10.93
2022-01-01 08:34:59.133265,9.81,10.9
2022-01-01 08:39:59.131165,9.65,11.05
2022-01-01 08:44:59.129032,9.62,10.91
2022-01-01 08:49:59.127052,9.44,10.85
2022-01-01 08:54:59.144733,9.66,10.73
2022-01-01 08:59:59.132598,9.72,10.87
2022-01-01 09:04:59.130465,9.73,10.75
2022-01-01 09:09:59.128283,9.95,10.87
2022-01-01 09:14:59.126191,10.08,10.75
2022-01-01 09:19:59.124048,9.72,10.83
2022-01-01 09:24:59.131903,9.81,10.78
2022-01-01 09:29:58.674309,9.86,10.85
2022-01-01 09:34:58.503437,9.81,10.69
2022-01-01 09:39:58.294059,10.08,10.68
2022-01-01 09:44:58.291905,10.12,10.77
2022-01-01 09:49:58.289756,10.16,0.0
2022-01-01 09:49:58.289756,10.16,10.65
2022-01-01 09:54:58.297646,10.33,10.68
2022-01-01 09:59:58.295452,10.39,10.73
2022-01-01 10:04:58.293311,10.56,10.68
2022-01-01 10:09:58.291146,10.59,10.73
2022-01-01 10:14:58.288922,10.63,10.61
2022-01-01 10:24:58.294628,10.7,10.68
2022-01-01 10:24:58.294628,10.7,10.65
2022-01-01 10:34:58.290284,10.59,10.69
2022-01-01 10:34:58.290284,10.59,10.64
2022-01-01 10:39:58.288136,10.52,10.57
2022-01-01 10:44:58.285954,10.47,10.65
2022-01-01 10:49:58.303814,10.79,10.61
2022-01-01 10:54:58.291640,10.75,10.71
2022-01-01 10:59:58.289485,10.78,10.84
2022-01-01 11:04:58.287284,10.79,10.81
2022-01-01 11:09:58.295128,10.65,10.85
2022-01-01 11:14:58.292924,10.84,10.73
2022-01-01 11:19:58.290804,10.75,10.68
2022-01-01 11:29:58.286516,11.02,10.77
2022-01-01 11:34:58.294392,10.98,10.83
2022-01-01 11:39:58.292236,10.97,10.87
2022-01-01 11:44:58.290063,10.96,10.96
2022-01-01 11:49:58.287882,10.9,10.81
2022-01-01 11:54:58.285755,11.0,10.77
2022-01-01 11:59:58.293547,10.91,10.81
2022-01-01 12:09:59.120655,10.81,10.9
2022-01-01 12:14:59.128440,10.7,10.83
2022-01-01 12:19:59.126335,10.82,10.9
2022-01-01 12:24:59.124250,10.9,10.99
2022-01-01 12:29:59.122145,10.99,11.12
2022-01-01 12:34:59.129991,11.13,11.05
2022-01-01 12:39:59.127813,11.03,11.03
2022-01-01 12:44:59.125629,10.75,11.06
2022-01-01 12:49:59.123533,10.96,0.0
2022-01-01 12:49:59.123533,10.96,11.09
2022-01-01 12:54:59.121315,10.89,11.15
2022-01-01 12:59:59.129156,10.97,0.0
2022-01-01 12:59:59.129156,10.97,11.1
2022-01-01 13:04:58.681651,10.97,11.09
2022-01-01 13:09:58.679571,11.08,11.15
2022-01-01 13:19:58.675242,11.13,11.22
2022-01-01 13:19:58.675242,11.13,11.42
2022-01-01 13:24:58.683190,11.23,11.4
2022-01-01 13:29:58.681022,11.37,11.38
2022-01-01 13:39:58.696829,11.34,11.44
2022-01-01 13:39:58.696829,11.34,11.37
2022-01-01 13:44:58.674761,11.49,11.44
2022-01-01 13:49:58.682230,11.48,11.53
2022-01-01 13:54:58.680091,11.54,11.45
2022-01-01 13:59:58.677852,11.55,11.48
2022-01-01 14:09:58.683473,11.86,11.51
2022-01-01 14:09:58.683473,11.86,11.53
2022-01-01 14:19:58.293061,11.49,11.54
2022-01-01 14:24:58.290888,11.64,11.58
2022-01-01 14:29:58.298690,11.63,11.62
2022-01-01 14:34:58.296539,11.74,11.67
