datetime,windSp
12/31/21 5:59 PM,4.3
12/31/21 6:04 PM,3.6
12/31/21 6:09 PM,5
12/31/21 6:14 PM,4.5
12/31/21 6:19 PM,3.6
12/31/21 6:24 PM,3.3
12/31/21 6:29 PM,1.9
12/31/21 6:34 PM,4.2
12/31/21 6:39 PM,3.1
12/31/21 6:44 PM,4.4
12/31/21 6:49 PM,5.4
12/31/21 6:54 PM,4.3
12/31/21 6:59 PM,2.9
12/31/21 7:04 PM,3.7
12/31/21 7:09 PM,4.4
12/31/21 7:14 PM,3.2
12/31/21 7:19 PM,4.4
12/31/21 7:24 PM,3.9
12/31/21 7:29 PM,4.5
12/31/21 7:34 PM,5.5
12/31/21 7:39 PM,5.6
12/31/21 7:44 PM,1.8
12/31/21 7:49 PM,2.6
12/31/21 7:54 PM,4.9
12/31/21 7:59 PM,4.8
12/31/21 8:04 PM,4.5
12/31/21 8:09 PM,6
12/31/21 8:14 PM,2.5
12/31/21 8:19 PM,7.2
12/31/21 8:24 PM,5.3
12/31/21 8:29 PM,5.8
12/31/21 8:34 PM,5.9
12/31/21 8:39 PM,5.3
12/31/21 8:44 PM,7
12/31/21 8:49 PM,3.8
12/31/21 8:54 PM,6.6
12/31/21 8:59 PM,7.5
12/31/21 9:04 PM,8.3
12/31/21 9:09 PM,6.5
12/31/21 9:14 PM,7.7
12/31/21 9:29 PM,7.6
12/31/21 9:34 PM,6.8
12/31/21 9:44 PM,7.5
12/31/21 9:49 PM,7.8
12/31/21 9:54 PM,7.2
12/31/21 9:59 PM,5.6
12/31/21 10:04 PM,6.8
12/31/21 10:09 PM,7.1
12/31/21 10:14 PM,6.2
12/31/21 10:19 PM,6.3
12/31/21 10:29 PM,5.9
12/31/21 10:34 PM,6.1
12/31/21 10:39 PM,6.8
12/31/21 10:44 PM,6.2
12/31/21 10:49 PM,6.3
12/31/21 10:54 PM,6.2
12/31/21 10:59 PM,6
12/31/21 11:04 PM,6.4
12/31/21 11:09 PM,6.3
12/31/21 11:14 PM,6.1
12/31/21 11:19 PM,5.4
12/31/21 11:24 PM,5.7
12/31/21 11:29 PM,5.6
12/31/21 11:34 PM,5.7
12/31/21 11:39 PM,5.1
12/31/21 11:44 PM,5
12/31/21 11:49 PM,4.8
12/31/21 11:59 PM,5.1
1/1/22 12:04 AM,4.2
1/1/22 12:09 AM,4.6
1/1/22 12:14 AM,4
1/1/22 12:19 AM,4.1
1/1/22 12:24 AM,4.2
