"group","P2_ind","V1_date","V1_date_time","V1_date_time_num","Vent_Gate_1","Vent_Gate_2","Seeing_mean"
0,1,"04/02/2022",2022-04-02 23:01:14,1648965674.13025,30,30,0.39821874
0,1,"04/02/2022",2022-04-02 23:01:44,1648965704.29404,30,30,0.44567433
0,1,"04/02/2022",2022-04-02 23:02:14,1648965734.45824,30,30,0.42914129
0,1,"04/02/2022",2022-04-02 23:02:44,1648965764.62232,30,30,0.41808554
0,1,"04/02/2022",2022-04-02 23:03:14,1648965794.78685,30,30,0.33854191
0,1,"04/02/2022",2022-04-02 23:03:44,1648965824.95578,30,30,0.58897957
0,1,"04/02/2022",2022-04-02 23:04:15,1648965855.12492,30,30,0.61707819
0,1,"04/02/2022",2022-04-02 23:04:45,1648965885.2891,30,30,1.0012002
0,1,"04/02/2022",2022-04-02 23:05:15,1648965915.45321,30,30,0.44644551
0,1,"04/02/2022",2022-04-02 23:05:45,1648965945.61744,30,30,0.51116603
0,1,"04/02/2022",2022-04-02 23:06:15,1648965975.78158,30,30,0.41778524
0,1,"04/02/2022",2022-04-02 23:06:45,1648966005.94581,30,30,0.38397992
0,1,"04/02/2022",2022-04-02 23:07:16,1648966036.10992,30,30,0.3590269
0,1,"04/02/2022",2022-04-02 23:07:46,1648966066.27409,30,30,0.34914779
0,1,"04/02/2022",2022-04-02 23:08:26,1648966106.42956,30,30,1.177738
0,1,"04/02/2022",2022-04-02 23:08:56,1648966136.5988,30,30,0.58583954
0,1,"04/02/2022",2022-04-02 23:09:26,1648966166.76295,30,30,0.4792685
0,1,"04/02/2022",2022-04-02 23:09:56,1648966196.92714,30,30,0.38629295
0,1,"04/02/2022",2022-04-02 23:10:27,1648966227.09626,30,30,0.33631766
0,1,"04/02/2022",2022-04-02 23:10:57,1648966257.26048,30,30,0.36268635
1,1,"04/02/2022",2022-04-02 23:11:27,1648966287.42464,30,30,0.400567215
0,1,"04/02/2022",2022-04-02 23:13:28,1648966408.08132,30,30,0.3690438
0,1,"04/02/2022",2022-04-02 23:13:58,1648966438.2507,30,30,0.91930739
2,1,"04/02/2022",2022-04-02 23:14:28,1648966468.41466,30,30,0.492639795
3,1,"04/02/2022",2022-04-02 23:15:28,1648966528.74305,30,30,0.402055745
4,1,"04/02/2022",2022-04-02 23:16:29,1648966589.07139,30,30,0.419304145
0,1,"04/02/2022",2022-04-02 23:17:29,1648966649.39967,30,30,0.38180715
5,1,"04/02/2022",2022-04-02 23:17:59,1648966679.56384,30,30,0.4797722
6,1,"04/02/2022",2022-04-02 23:18:59,1648966739.89723,30,30,0.71931424
7,1,"04/02/2022",2022-04-02 23:20:00,1648966800.22558,30,30,0.362637185
0,1,"04/02/2022",2022-04-02 23:21:00,1648966860.55388,30,30,0.36786673
0,1,"04/02/2022",2022-04-02 23:21:30,1648966890.71807,30,30,0.34488979
8,1,"04/02/2022",2022-04-02 23:22:00,1648966920.88221,30,30,0.45204776
0,1,"04/02/2022",2022-04-02 23:23:01,1648966981.21084,30,30,0.36413084
0,1,"04/02/2022",2022-04-02 23:23:31,1648967011.37472,30,30,0.51234257
0,1,"04/02/2022",2022-04-02 23:24:01,1648967041.54392,30,30,0.75507644
9,1,"04/02/2022",2022-04-02 23:24:31,1648967071.7081,30,30,0.422859303333333
0,1,"04/02/2022",2022-04-02 23:26:02,1648967162.20563,30,30,0.44795073
0,1,"04/02/2022",2022-04-02 23:26:32,1648967192.36972,30,30,0.46709287
0,1,"04/02/2022",2022-04-02 23:27:02,1648967222.53393,30,30,0.36898361
0,1,"04/02/2022",2022-04-02 23:27:32,1648967252.69811,30,30,0.34424279
0,1,"04/02/2022",2022-04-02 23:28:02,1648967282.86228,30,30,0.3161842
0,1,"04/02/2022",2022-04-02 23:28:33,1648967313.02643,30,30,0.37367686
10,1,"04/02/2022",2022-04-02 23:29:03,1648967343.19564,30,30,0.588695145
0,1,"04/02/2022",2022-04-02 23:30:03,1648967403.52899,30,30,0.37177445
11,1,"04/02/2022",2022-04-02 23:30:33,1648967433.69311,30,30,0.404147395
0,1,"04/02/2022",2022-04-02 23:31:34,1648967494.02151,30,30,0.32175492
12,1,"04/02/2022",2022-04-02 23:32:04,1648967524.18568,30,30,0.44798874
13,1,"04/02/2022",2022-04-02 23:33:04,1648967584.514,30,30,0.359219925
0,1,"04/02/2022",2022-04-02 23:34:04,1648967644.84233,30,30,0.35096639
0,1,"04/02/2022",2022-04-02 23:34:35,1648967675.00654,30,30,0.3776988
0,1,"04/04/2022",2022-04-04 23:51:16,1649141476.87651,0,0,1.303707
14,1,"04/04/2022",2022-04-04 23:51:46,1649141506.91492,0,0,0.8628745025
0,1,"04/04/2022",2022-04-04 23:53:47,1649141627.20973,0,0,0.65002951
0,1,"04/04/2022",2022-04-04 23:54:17,1649141657.24834,0,0,0.51709864
0,1,"04/04/2022",2022-04-04 23:54:47,1649141687.28697,0,0,0.43574555
15,1,"04/04/2022",2022-04-04 23:55:17,1649141717.32575,0,0,0.533245355
16,1,"04/04/2022",2022-04-04 23:56:37,1649141797.6068,0,0,0.674503
0,1,"04/04/2022",2022-04-04 23:57:39,1649141859.56633,0,0,1.2110521
0,1,"04/04/2022",2022-04-04 23:58:09,1649141889.60498,0,0,0.70265319
0,1,"04/04/2022",2022-04-04 23:58:39,1649141919.64356,0,0,0.73006285
17,1,"04/04/2022",2022-04-04 23:59:09,1649141949.68225,0,0,1.15931757
18,1,"04/05/2022",2022-04-05 00:00:13,1649142013.4443,0,0,0.895481213333333
0,1,"04/05/2022",2022-04-05 00:01:43,1649142103.56051,0,0,0.90353479
19,1,"04/05/2022",2022-04-05 00:02:13,1649142133.59892,0,0,0.80720475
0,1,"04/05/2022",2022-04-05 00:07:02,1649142422.61753,10,10,0.76146382
0,1,"04/05/2022",2022-04-05 00:07:32,1649142452.69859,10,10,0.79629101
0,1,"04/05/2022",2022-04-05 00:08:02,1649142482.77996,10,10,0.67978754
0,1,"04/05/2022",2022-04-05 00:08:32,1649142512.86131,10,10,0.76851551
0,1,"04/05/2022",2022-04-05 00:09:02,1649142542.94296,10,10,0.78546982
0,1,"04/05/2022",2022-04-05 00:09:33,1649142573.16449,10,10,1.3453976
0,1,"04/05/2022",2022-04-05 00:10:03,1649142603.24588,10,10,1.320849
0,1,"04/05/2022",2022-04-05 00:10:33,1649142633.33721,10,10,0.92609505
0,1,"04/05/2022",2022-04-05 00:11:03,1649142663.41855,10,10,0.76357169
0,1,"04/05/2022",2022-04-05 00:11:33,1649142693.49996,10,10,0.7265263
0,1,"04/05/2022",2022-04-05 00:12:03,1649142723.58143,10,10,0.76719219
0,1,"04/05/2022",2022-04-05 00:12:33,1649142753.66274,10,10,0.72496345
0,1,"04/05/2022",2022-04-05 00:13:29,1649142809.22077,10,10,1.3850105
0,1,"04/05/2022",2022-04-05 00:13:59,1649142839.32184,10,10,1.2674927
0,1,"04/05/2022",2022-04-05 00:14:29,1649142869.40318,10,10,0.63774556
0,1,"04/05/2022",2022-04-05 00:16:21,1649142981.53983,10,10,1.3794758
0,1,"04/05/2022",2022-04-05 00:16:51,1649143011.62137,10,10,0.65669333
0,1,"04/05/2022",2022-04-05 00:17:21,1649143041.70266,10,10,0.79139387
0,1,"04/05/2022",2022-04-05 00:17:51,1649143071.784,10,10,0.78664972
0,1,"04/05/2022",2022-04-05 00:18:21,1649143101.86535,10,10,0.73419888
0,1,"04/05/2022",2022-04-05 00:18:51,1649143131.94676,10,10,0.71877757
0,1,"04/05/2022",2022-04-05 00:19:22,1649143162.02811,10,10,0.73356235
0,1,"04/05/2022",2022-04-05 00:19:52,1649143192.10949,10,10,0.7325302
0,1,"04/05/2022",2022-04-05 00:20:22,1649143222.19082,10,10,0.77294619
0,1,"04/05/2022",2022-04-05 00:20:52,1649143252.27223,10,10,0.77772078
0,1,"04/05/2022",2022-04-05 00:21:22,1649143282.3536,10,10,0.75552533
0,1,"04/05/2022",2022-04-05 00:21:52,1649143312.53535,10,10,1.6165531
0,1,"04/05/2022",2022-04-05 00:22:22,1649143342.61653,10,10,0.95312269
0,1,"04/05/2022",2022-04-05 00:22:52,1649143372.69796,10,10,1.0083069
0,1,"04/05/2022",2022-04-05 00:23:22,1649143402.77936,10,10,0.84956431
0,1,"04/05/2022",2022-04-05 00:23:52,1649143432.86095,10,10,0.89172421
0,1,"04/05/2022",2022-04-05 00:24:22,1649143462.94206,10,10,0.88916804
0,1,"04/05/2022",2022-04-05 00:24:53,1649143493.02346,10,10,0.84888783
0,1,"04/05/2022",2022-04-05 00:25:23,1649143523.10488,10,10,0.82218334
0,1,"04/05/2022",2022-04-05 00:25:53,1649143553.18619,10,10,0.80010427
0,1,"04/05/2022",2022-04-05 00:26:23,1649143583.2675,10,10,0.67468536
0,1,"04/05/2022",2022-04-05 00:26:53,1649143613.34893,10,10,0.67732925
0,1,"04/05/2022",2022-04-05 00:27:23,1649143643.43034,10,10,0.70625892
0,1,"04/05/2022",2022-04-05 00:27:53,1649143673.51167,10,10,0.69231521
0,1,"04/05/2022",2022-04-05 00:28:23,1649143703.59302,10,10,0.68586005
0,1,"04/05/2022",2022-04-05 00:28:53,1649143733.67441,10,10,0.6601371
0,1,"04/05/2022",2022-04-05 00:29:23,1649143763.75585,10,10,0.68088569
0,1,"04/05/2022",2022-04-05 00:29:53,1649143793.83718,10,10,0.73835168
0,1,"04/05/2022",2022-04-05 00:30:23,1649143823.91849,10,10,0.63750727
0,1,"04/05/2022",2022-04-05 00:30:53,1649143853.99988,10,10,0.6979541
0,1,"04/05/2022",2022-04-05 00:31:24,1649143884.08131,10,10,0.68885075
0,1,"04/05/2022",2022-04-05 00:31:54,1649143914.16265,10,10,0.75410977
0,1,"04/05/2022",2022-04-05 00:43:46,1649144626.84918,10,10,1.1695777
0,1,"04/05/2022",2022-04-05 00:44:16,1649144656.93064,10,10,0.60897547
0,1,"04/05/2022",2022-04-05 00:44:47,1649144687.01198,10,10,0.5827789
0,1,"04/05/2022",2022-04-05 00:45:17,1649144717.09337,10,10,0.84221616
0,1,"04/05/2022",2022-04-05 00:45:47,1649144747.17468,10,10,0.71868384
0,1,"04/05/2022",2022-04-05 00:46:17,1649144777.2561,10,10,0.68264419
0,1,"04/05/2022",2022-04-05 00:46:47,1649144807.33745,10,10,0.74514845
0,1,"04/05/2022",2022-04-05 00:47:17,1649144837.41884,10,10,0.67048547
0,1,"04/05/2022",2022-04-05 00:47:47,1649144867.50016,10,10,0.85370442
0,1,"04/05/2022",2022-04-05 00:48:17,1649144897.58168,10,10,0.67354806
0,1,"04/05/2022",2022-04-05 00:48:47,1649144927.66295,10,10,0.76824566
0,1,"04/05/2022",2022-04-05 00:49:17,1649144957.74431,10,10,0.69241334
0,1,"04/05/2022",2022-04-05 00:49:47,1649144987.82562,10,10,0.58039947
0,1,"04/05/2022",2022-04-05 00:50:17,1649145017.90703,10,10,0.63010173
0,1,"04/05/2022",2022-04-05 00:50:47,1649145047.98841,10,10,0.75069847
0,1,"04/05/2022",2022-04-05 00:51:18,1649145078.06981,10,10,0.80504934
0,1,"04/05/2022",2022-04-05 00:51:48,1649145108.15117,10,10,0.89661626
0,1,"04/05/2022",2022-04-05 00:52:18,1649145138.23249,10,10,0.84383466
0,1,"04/05/2022",2022-04-05 00:52:48,1649145168.31388,10,10,0.83041269
0,1,"04/05/2022",2022-04-05 00:53:18,1649145198.39525,10,10,0.84224141
0,1,"04/05/2022",2022-04-05 00:53:48,1649145228.47657,10,10,0.77807851
0,1,"04/05/2022",2022-04-05 00:54:18,1649145258.55803,10,10,0.80206456
0,1,"04/05/2022",2022-04-05 00:54:48,1649145288.63938,10,10,0.78116744
0,1,"04/05/2022",2022-04-05 00:55:19,1649145319.55297,10,10,1.4787855
0,1,"04/05/2022",2022-04-05 00:55:49,1649145349.63429,10,10,0.89257893
0,1,"04/05/2022",2022-04-05 00:56:19,1649145379.71575,10,10,0.72569647
