,WVP_P2_ind,WVP_Ext_Wind_ind,WVP_Eq_Wind_group,WVP_cpWind_date_time,WVP_VG_date_time,WVP_P2_date_time,WVP_VG_date_time_num,WVP_cpWindSpeed_mean,WVP_VG_East,WVP_VG_West,WVP_seeing_mean,WVP_VG_date,OP_in
1,1,1,1,4/2/22 22:59,4/2/22 23:01,4/2/22 23:01,1648965670,2.7,30,30,0.398,4/2/22,1
2,1,0,1,4/2/22 22:59,4/2/22 23:01,4/2/22 23:01,1648965703,2.7,30,30,0.446,4/2/22,1
3,1,0,1,4/2/22 22:59,4/2/22 23:02,4/2/22 23:02,1648965730,2.7,30,30,0.429,4/2/22,1
4,1,0,1,4/2/22 22:59,4/2/22 23:02,4/2/22 23:02,1648965760,2.7,30,30,0.418,4/2/22,1
5,1,0,1,4/2/22 22:59,4/2/22 23:03,4/2/22 23:03,1648965792,2.7,30,30,0.339,4/2/22,1
6,1,0,1,4/2/22 22:59,4/2/22 23:03,4/2/22 23:03,1648965811,2.7,30,30,0.589,4/2/22,1
7,1,0,1,4/2/22 22:59,4/2/22 23:04,4/2/22 23:04,1648965855,2.7,30,30,0.617,4/2/22,1
8,1,0,1,4/2/22 22:59,4/2/22 23:04,4/2/22 23:04,1648965882,2.7,30,30,1.001,4/2/22,1
9,1,1,2,4/2/22 23:04,4/2/22 23:05,4/2/22 23:05,1648965915,2.7,30,30,0.446,4/2/22,1
10,1,0,2,4/2/22 23:04,4/2/22 23:05,4/2/22 23:05,1648965945,2.7,30,30,0.511,4/2/22,1
11,1,0,2,4/2/22 23:04,4/2/22 23:06,4/2/22 23:06,1648965973,2.7,30,30,0.418,4/2/22,1
12,1,0,2,4/2/22 23:04,4/2/22 23:06,4/2/22 23:06,1648966001,2.7,30,30,0.384,4/2/22,1
13,1,0,2,4/2/22 23:04,4/2/22 23:07,4/2/22 23:07,1648966036,2.7,30,30,0.359,4/2/22,1
14,1,0,2,4/2/22 23:04,4/2/22 23:07,4/2/22 23:07,1648966059,2.7,30,30,0.349,4/2/22,1
15,1,0,2,4/2/22 23:04,4/2/22 23:08,4/2/22 23:08,1648966096,2.7,30,30,1.178,4/2/22,1
16,1,0,2,4/2/22 23:04,4/2/22 23:08,4/2/22 23:08,1648966129,2.7,30,30,0.586,4/2/22,1
17,1,0,2,4/2/22 23:04,4/2/22 23:09,4/2/22 23:09,1648966163,2.7,30,30,0.479,4/2/22,1
18,1,0,2,4/2/22 23:04,4/2/22 23:09,4/2/22 23:09,1648966184,2.7,30,30,0.386,4/2/22,1
19,1,1,3,4/2/22 23:09,4/2/22 23:10,4/2/22 23:10,1648966227,2.2,30,30,0.336,4/2/22,1
20,1,0,3,4/2/22 23:09,4/2/22 23:10,4/2/22 23:10,1648966256,2.2,30,30,0.363,4/2/22,1
21,1,0,3,4/2/22 23:09,4/2/22 23:11,4/2/22 23:11,1648966270,2.2,30,30,0.4005,4/2/22,1
22,1,0,3,4/2/22 23:09,4/2/22 23:13,4/2/22 23:13,1648966407,2.2,30,30,0.369,4/2/22,1
23,1,0,3,4/2/22 23:09,4/2/22 23:13,4/2/22 23:13,1648966427,2.2,30,30,0.919,4/2/22,1
24,1,0,3,4/2/22 23:09,4/2/22 23:14,4/2/22 23:14,1648966444,2.2,30,30,0.4925,4/2/22,1
25,1,1,4,4/2/22 23:14,4/2/22 23:15,4/2/22 23:15,1648966525,2,30,30,0.402,4/2/22,1
26,1,0,4,4/2/22 23:14,4/2/22 23:16,4/2/22 23:16,1648966583,2,30,30,0.4195,4/2/22,1
27,1,0,4,4/2/22 23:14,4/2/22 23:17,4/2/22 23:17,1648966647,2,30,30,0.382,4/2/22,1
28,1,0,4,4/2/22 23:14,4/2/22 23:17,4/2/22 23:17,1648966678,2,30,30,0.4795,4/2/22,1
29,1,0,4,4/2/22 23:14,4/2/22 23:18,4/2/22 23:18,1648966727,2,30,30,0.719,4/2/22,1
30,1,0,4,4/2/22 23:14,4/2/22 23:19,4/2/22 23:20,1648966793,2,30,30,0.3625,4/2/22,1
31,1,1,5,4/2/22 23:19,4/2/22 23:20,4/2/22 23:21,1648966848,1.6,30,30,0.368,4/2/22,1
32,1,0,5,4/2/22 23:19,4/2/22 23:21,4/2/22 23:21,1648966881,1.6,30,30,0.345,4/2/22,1
33,1,0,5,4/2/22 23:19,4/2/22 23:21,4/2/22 23:22,1648966919,1.6,30,30,0.452,4/2/22,1
34,1,0,5,4/2/22 23:19,4/2/22 23:22,4/2/22 23:23,1648966977,1.6,30,30,0.364,4/2/22,1
35,1,0,5,4/2/22 23:19,4/2/22 23:23,4/2/22 23:23,1648966992,1.6,30,30,0.512,4/2/22,1
36,1,0,5,4/2/22 23:19,4/2/22 23:23,4/2/22 23:24,1648967039,1.6,30,30,0.755,4/2/22,1
37,1,0,5,4/2/22 23:19,4/2/22 23:24,4/2/22 23:24,1648967054,1.6,30,30,0.422666667,4/2/22,1
38,1,1,6,4/2/22 23:24,4/2/22 23:26,4/2/22 23:26,1648967162,2.2,30,30,0.448,4/2/22,1
39,1,0,6,4/2/22 23:24,4/2/22 23:26,4/2/22 23:26,1648967164,2.2,30,30,0.467,4/2/22,1
40,1,0,6,4/2/22 23:24,4/2/22 23:26,4/2/22 23:27,1648967208,2.2,30,30,0.369,4/2/22,1
41,1,0,6,4/2/22 23:24,4/2/22 23:27,4/2/22 23:27,1648967249,2.2,30,30,0.344,4/2/22,1
42,1,0,6,4/2/22 23:24,4/2/22 23:27,4/2/22 23:28,1648967256,2.2,30,30,0.316,4/2/22,1
43,1,0,6,4/2/22 23:24,4/2/22 23:28,4/2/22 23:28,1648967303,2.2,30,30,0.374,4/2/22,1
44,1,0,6,4/2/22 23:24,4/2/22 23:29,4/2/22 23:29,1648967341,2.2,30,30,0.589,4/2/22,1
45,1,1,7,4/2/22 23:29,4/2/22 23:30,4/2/22 23:30,1648967402,2.6,30,30,0.372,4/2/22,1
46,1,0,7,4/2/22 23:29,4/2/22 23:30,4/2/22 23:30,1648967408,2.6,30,30,0.404,4/2/22,1
47,1,0,7,4/2/22 23:29,4/2/22 23:31,4/2/22 23:31,1648967493,2.6,30,30,0.322,4/2/22,1
48,1,0,7,4/2/22 23:29,4/2/22 23:31,4/2/22 23:32,1648967509,2.6,30,30,0.448,4/2/22,1
49,1,0,7,4/2/22 23:29,4/2/22 23:32,4/2/22 23:33,1648967578,2.6,30,30,0.359,4/2/22,1
50,1,0,7,4/2/22 23:29,4/2/22 23:33,4/2/22 23:34,1648967639,2.6,30,30,0.351,4/2/22,1
51,1,0,7,4/2/22 23:29,4/2/22 23:34,4/2/22 23:34,1648967664,2.6,30,30,0.378,4/2/22,1
52,1,1,8,4/4/22 23:49,4/4/22 23:51,4/4/22 23:51,1649141464,9.2,0,0,1.304,4/4/22,1
53,1,0,8,4/4/22 23:49,4/4/22 23:51,4/4/22 23:51,1649141502,9.2,0,0,0.863,4/4/22,1
54,1,0,8,4/4/22 23:49,4/4/22 23:53,4/4/22 23:53,1649141624,9.2,0,0,0.65,4/4/22,1
55,1,0,8,4/4/22 23:49,4/4/22 23:53,4/4/22 23:54,1649141640,9.2,0,0,0.517,4/4/22,1
56,1,0,8,4/4/22 23:49,4/4/22 23:54,4/4/22 23:54,1649141674,9.2,0,0,0.436,4/4/22,1
57,1,1,9,4/4/22 23:54,4/4/22 23:55,4/4/22 23:55,1649141715,10.2,0,0,0.533,4/4/22,1
58,1,0,9,4/4/22 23:54,4/4/22 23:56,4/4/22 23:56,1649141784,10.2,0,0,0.6745,4/4/22,1
59,1,0,9,4/4/22 23:54,4/4/22 23:57,4/4/22 23:57,1649141859,10.2,0,0,1.211,4/4/22,1
60,1,0,9,4/4/22 23:54,4/4/22 23:57,4/4/22 23:58,1649141863,10.2,0,0,0.703,4/4/22,1
61,1,0,9,4/4/22 23:54,4/4/22 23:58,4/4/22 23:58,1649141901,10.2,0,0,0.73,4/4/22,1
62,1,0,9,4/4/22 23:54,4/4/22 23:58,4/4/22 23:59,1649141937,10.2,0,0,1.1595,4/4/22,1
63,1,1,10,4/4/22 23:59,4/5/22 0:00,4/5/22 0:00,1649142004,9.8,0,0,0.895333333,4/5/22,1
64,1,0,10,4/4/22 23:59,4/5/22 0:01,4/5/22 0:01,1649142100,9.8,0,0,0.904,4/5/22,1
65,1,0,10,4/4/22 23:59,4/5/22 0:02,4/5/22 0:02,1649142129,9.8,0,0,0.807,4/5/22,1
66,1,1,11,4/5/22 0:04,4/5/22 0:07,4/5/22 0:07,1649142422,11.1,10,10,0.761,4/5/22,1
67,1,0,11,4/5/22 0:04,4/5/22 0:07,4/5/22 0:07,1649142451,11.1,10,10,0.796,4/5/22,1
68,1,0,11,4/5/22 0:04,4/5/22 0:08,4/5/22 0:08,1649142483,11.1,10,10,0.68,4/5/22,1
69,1,0,11,4/5/22 0:04,4/5/22 0:08,4/5/22 0:08,1649142511,11.1,10,10,0.769,4/5/22,1
70,1,0,11,4/5/22 0:04,4/5/22 0:09,4/5/22 0:09,1649142542,11.1,10,10,0.785,4/5/22,1
